"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","2","1.2","0.4","-"
"2",1,"Puka Nacua",LAR,"WR2","24","1","5","3.0","1.0","-"
"3",1,"Jaxon Smith-Njigba",SEA,"WR3","24","2","6","3.1","1.3","-"
"4",1,"Bijan Robinson",ATL,"RB1","24","1","5","3.8","1.3","-"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","3","6","5.2","0.9","-"
"6",2,"Justin Jefferson",MIN,"WR4","26","4","11","6.5","1.9","-"
"7",2,"CeeDee Lamb",DAL,"WR5","27","4","10","7.2","1.5","-"
"8",2,"Amon-Ra St. Brown",DET,"WR6","26","5","11","8.0","1.6","-"
"9",2,"Malik Nabers",NYG,"WR7","22","6","14","9.8","1.9","-"
"10",2,"Ashton Jeanty",LV,"RB3","22","8","23","10.7","3.7","-"
"11",2,"Drake London",ATL,"WR8","24","10","15","12.7","1.7","-"
"12",2,"De'Von Achane",MIA,"RB4","24","9","18","13.1","2.1","-"
"13",3,"Jeremiyah Love",ARI,"RB5","20","9","27","14.4","4.7","-"
"14",3,"James Cook III",BUF,"RB6","26","9","28","16.4","4.8","-"
"15",3,"Nico Collins",HOU,"WR9","27","13","25","17.3","3.3","-"
"16",3,"Omarion Hampton",LAC,"RB7","23","10","42","17.9","7.0","-"
"17",3,"Tetairoa McMillan",CAR,"WR10","23","13","28","18.7","4.3","-"
"18",3,"Brock Bowers",LV,"TE1","23","9","32","20.3","5.7","-"
"19",3,"George Pickens",DAL,"WR11","25","14","28","20.4","3.6","-"
"20",3,"Jonathan Taylor",IND,"RB8","27","12","37","20.6","7.5","-"
"21",3,"Josh Allen",BUF,"QB1","29","18","31","21.3","3.5","-"
"22",3,"Chris Olave",NO,"WR12","25","13","32","24.0","4.7","-"
"23",3,"Trey McBride",ARI,"TE2","26","8","44","24.6","8.2","-"
"24",4,"Emeka Egbuka",TB,"WR13","23","17","40","25.8","6.7","-"
"25",4,"Garrett Wilson",NYJ,"WR14","25","18","33","26.6","3.8","-"
"26",4,"Rashee Rice",KC,"WR15","26","17","67","29.9","13.6","-"
"27",4,"Kenneth Walker III",KC,"RB9","25","21","50","30.5","11.3","-"
"28",4,"Drake Maye",NE,"QB2","23","19","53","30.6","9.2","-"
"29",4,"Carnell Tate",TEN,"WR16","21","19","61","32.3","9.3","-"
"30",4,"Ladd McConkey",LAC,"WR17","24","26","66","33.5","9.2","-"
"31",4,"Lamar Jackson",BAL,"QB3","29","25","67","36.2","10.4","-"
"32",4,"DeVonta Smith",PHI,"WR18","27","27","57","36.9","7.2","-"
