Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,17,1.04,8,0%,83%,242.6,248,296,325.4,100
2,DET,"Jahmyr Gibbs",RB,17,1.02,8,0%,70%,259.8,289,313,366.2,97
3,ATL,"Bijan Robinson",RB,17,1.01,5,0%,39%,264.9,296,312,364.7,96.9
4,CIN,"Ja'Marr Chase",WR,17,1.03,10,0%,48%,244,261,277,327.2,94
5,SF,"Christian McCaffrey",RB,17,1.05,14,0%,52%,243.1,272,293,366.2,87.9
6,SEA,"Jaxon Smith-Njigba",WR,17,1.06,8,0%,79%,242.4,226,266,311.7,87.2
7,DET,"Amon-Ra St. Brown",WR,17,1.08,8,0%,35%,235.8,229,262,290.8,81.2
8,IND,"Jonathan Taylor",RB,17,1.07,11,0%,83%,246.2,264,286,337.8,81
9,DAL,"CeeDee Lamb",WR,17,1.09,10,0%,66%,218.8,222,249,298.4,75.8
10,MIN,"Justin Jefferson",WR,17,2.02,6,0%,53%,208.9,218,240,314.6,74.4
11,KC,"Rashee Rice",WR,17,3.12,10,0%,88%,211.9,189,252,282.5,73.4
12,BUF,"James Cook",RB,17,1.11,7,0%,73%,235.5,242,268,329.1,71.5
13,LVR,"Ashton Jeanty",RB,17,1.12,8,0%,63%,233.3,237,262,335.6,70.6
14,PHI,"Saquon Barkley",RB,17,2.01,9,0%,43%,225.6,239,248,344.5,66.2
15,HOU,"Nico Collins",WR,17,2.12,6,0%,92%,206.8,203,232,276.5,64.8
16,ATL,"Drake London",WR,17,2.06,5,0%,76%,209.3,219,228,273,62.7
17,BAL,"Derrick Henry",RB,17,3.01,7,0%,37%,223.5,243,251,318.9,62.5
18,MIA,"De'Von Achane",RB,17,1.10,12,0%,90%,221.9,242,247,315.5,60.1
19,DAL,"George Pickens",WR,17,3.06,10,0%,47%,199.6,187,219,274.1,58.9
20,KC,"Kenneth Walker III",RB,17,3.02,10,0%,43%,215.1,217,239,325,58.3
21,GB,"Josh Jacobs",RB,17,2.10,5,0%,69%,212.5,225,250,302.5,57.9
22,BUF,"Josh Allen",QB,17,2.08,7,0%,22%,306.9,361,379,443.3,57.3
23,PHI,"A.J. Brown",WR,17,3.07,9,0%,76%,192.6,200,216,272.7,56.7
24,LAC,"Omarion Hampton",RB,17,2.04,12,0%,94%,206.6,216,235,319.3,54.8
25,ARI,"Jeremiyah Love",RB,17,2.05,8,0%,0%,206.7,211,230,323.8,53.8
26,NYG,"Malik Nabers",WR,16,2.03,14,0%,66%,168.4,207,203,284.1,51.2
27,LVR,"Brock Bowers",TE,17,2.11,8,0%,75%,189.5,186,204,246.5,50.9
28,CIN,"Chase Brown",RB,17,2.09,10,0%,81%,202.9,221,231,299.7,49.4
29,ARI,"Trey McBride",TE,17,2.07,8,0%,53%,188.5,196,203,237.1,49.4
30,CIN,"Tee Higgins",WR,17,3.10,10,0%,88%,184.5,187,205,254.2,48.5
31,BAL,"Zay Flowers",WR,17,4.07,7,0%,85%,185.8,181,209,240.1,47.5
32,NO,"Chris Olave",WR,17,3.08,11,0%,76%,180.3,183,207,246.6,47.5
33,PHI,"DeVonta Smith",WR,17,4.12,9,0%,94%,182.8,178,199,248.4,45.1
34,CHI,"Colston Loveland",TE,17,4.09,5,0%,33%,161.1,161,197,226,44.2
35,LAR,"Davante Adams",WR,17,5.01,8,0%,82%,175.8,185,198,244.9,43.2
36,NYJ,"Garrett Wilson",WR,17,4.04,9,0%,36%,178.8,184,197,241.7,42.6
37,DAL,"Javonte Williams",RB,17,4.02,10,0%,73%,192.8,185,224,278,42.2
38,NYJ,"Breece Hall",RB,17,3.05,9,0%,85%,192.8,202,219,284.9,41.5
39,NO,"Travis Etienne",RB,17,3.11,11,0%,69%,194.6,183,211,291.8,40.4
40,LAR,"Kyren Williams",RB,17,3.03,8,0%,85%,199.3,208,217,277.2,40.1
41,IND,"Tyler Warren",TE,17,6.01,11,0%,60%,156.3,152,184,213.4,39
42,DEN,"Jaylen Waddle",WR,17,5.02,12,0%,93%,163.7,161,188,240.9,37.8
43,GB,"Christian Watson",WR,17,6.10,5,0%,52%,162,129,188,235.4,36.6
44,CAR,"Tetairoa McMillan",WR,17,3.09,14,0%,45%,166,181,184,239.8,36.6
46,BAL,"Lamar Jackson",QB,17,4.03,7,0%,45%,298.8,331,340,438.1,35
47,DET,"Jameson Williams",WR,17,4.11,8,0%,68%,164.2,165,182,235.3,34.8
48,NYG,"Cameron Skattebo",RB,17,4.08,14,0%,52%,180.2,168,207,277.6,34.6
49,WAS,"Terry McLaurin",WR,17,5.10,12,0%,93%,164.3,181,183,231.9,34.3
50,TB,"Emeka Egbuka",WR,17,5.03,9,0%,38%,159.9,155,180,239,34
51,LAC,"Ladd McConkey",WR,17,4.05,12,0%,86%,156.7,181,182,231.4,33.2
52,CHI,"D'Andre Swift",RB,17,5.11,5,0%,73%,184.7,183,205,266.7,32.5
53,NE,"Drake Maye",QB,17,6.04,14,0%,65%,293.8,312,342,427,32.4
54,CIN,"Joe Burrow",QB,17,5.04,10,0%,26%,296,317,340,425.3,31.9
55,GB,"Tucker Kraft",TE,16,6.12,5,0%,49%,139.2,143,166,200.5,31.2
56,DET,"Sam LaPorta",TE,17,7.04,8,0%,84%,146,151,162,202.7,31.1
57,CHI,"Rome Odunze",WR,17,6.02,5,0%,79%,154.7,159,172,240.6,30.9
58,SF,"Mike Evans",WR,17,6.07,14,0%,93%,151.6,174,176,232.7,30.8
59,PIT,"D.K. Metcalf",WR,17,7.03,5,0%,69%,153.2,166,182,218.9,30.7
60,WAS,"Jayden Daniels",QB,17,5.12,12,0%,71%,286,316,333,432.4,30.1
61,PHI,"Jalen Hurts",QB,17,6.06,9,0%,43%,290.5,316,330,432.4,29.9
62,TB,"Bucky Irving",RB,17,3.04,9,0%,83%,175.2,197,188,271.2,29.7
63,NE,"TreVeyon Henderson",RB,17,4.01,14,0%,37%,164,171,180,286.5,29
64,CLE,"Harold Fannin Jr.",TE,17,6.09,9,0%,68%,143.1,132,159,198.7,28.9
65,CLE,"Quinshon Judkins",RB,17,4.06,9,0%,45%,170.6,167,185,263.3,28.4
66,JAC,"Trevor Lawrence",QB,17,8.12,8,0%,35%,287.1,300,334,413.9,28.3
67,CHI,"Caleb Williams",QB,17,8.03,5,0%,24%,287.1,295,326,417.6,26.9
68,SF,"Brock Purdy",QB,17,10.08,14,0%,24%,284.5,304,327,408.8,25.9
69,LAC,"Justin Herbert",QB,17,8.07,12,0%,36%,284.4,299,323,413.6,25.5
70,HOU,"David Montgomery",RB,17,5.07,6,0%,94%,150.3,174,175,255.1,25.3
71,IND,"Alec Pierce",WR,17,7.11,11,0%,94%,144.8,133,166,221.4,25
72,ARI,"Marvin Harrison Jr.",WR,17,6.05,8,0%,90%,144,161,164,225.8,24.7
73,BUF,"D.J. Moore",WR,17,7.02,7,0%,71%,144.8,154,165,222.2,24.5
