"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"RB1","1","3","1.9","0.7","0"
"2",1,"Ja'Marr Chase",CIN,"WR1","1","4","2.2","1.2","+1"
"3",1,"Jahmyr Gibbs",DET,"RB2","1","5","2.4","0.8","-1"
"4",1,"Puka Nacua",LAR,"WR2","1","6","4.2","1.3","0"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","3","6","5.1","0.9","+1"
"6",2,"Christian McCaffrey",SF,"RB3","3","13","6.9","2.5","-1"
"7",2,"Amon-Ra St. Brown",DET,"WR4","6","11","8.0","1.2","+1"
"8",2,"CeeDee Lamb",DAL,"WR5","7","11","8.1","1.3","+3"
"9",2,"Jonathan Taylor",IND,"RB4","5","12","8.7","2.3","-2"
"10",3,"Justin Jefferson",MIN,"WR6","7","19","11.0","3.3","0"
"11",3,"James Cook III",BUF,"RB5","5","15","11.3","2.3","-2"
"12",3,"Drake London",ATL,"WR7","9","21","14.3","3.7","+11"
"13",3,"De'Von Achane",MIA,"RB6","10","24","14.7","3.4","-1"
"14",3,"Ashton Jeanty",LV,"RB7","9","22","15.2","3.1","-1"
"15",4,"Nico Collins",HOU,"WR8","13","29","18.1","3.9","+12"
"16",4,"Malik Nabers",NYG,"WR9","9","38","18.6","5.9","+1"
"17",4,"Rashee Rice",KC,"WR10","9","35","18.7","6.4","+5"
"18",4,"Trey McBride",ARI,"TE1","16","30","18.8","4.1","-3"
"19",4,"Chase Brown",CIN,"RB8","11","30","19.7","4.9","-1"
"20",4,"Saquon Barkley",PHI,"RB9","12","33","19.8","5.5","-6"
"21",4,"Omarion Hampton",LAC,"RB10","13","44","20.5","6.5","0"
"22",4,"Brock Bowers",LV,"TE2","15","31","21.0","2.9","-2"
"23",4,"George Pickens",DAL,"WR11","14","31","22.9","3.7","+3"
"24",4,"Kenneth Walker III",KC,"RB11","12","52","24.9","8.9","-8"
"25",4,"Chris Olave",NO,"WR12","18","43","26.8","6.8","+4"
"26",4,"Josh Allen",BUF,"QB1","24","48","27.1","5.0","-2"
"27",5,"A.J. Brown",PHI,"WR13","18","50","28.4","6.0","+3"
"28",5,"Jeremiyah Love",ARI,"RB12","17","42","29.8","6.7","-3"
"29",5,"Derrick Henry",BAL,"RB13","17","41","30.0","6.9","-10"
"30",5,"Josh Jacobs",GB,"RB14","18","40","30.6","6.5","-2"
"31",5,"Lamar Jackson",BAL,"QB2","27","58","31.8","8.3","+11"
"32",5,"Tetairoa McMillan",CAR,"WR14","25","43","32.7","4.8","+1"
"33",5,"Tee Higgins",CIN,"WR15","27","39","33.4","3.6","+1"
"34",5,"Drake Maye",NE,"QB3","27","62","37.6","10.6","+22"
"35",5,"DeVonta Smith",PHI,"WR16","26","59","37.6","9.0","+3"
"36",5,"Garrett Wilson",NYJ,"WR17","29","50","38.7","5.2","+3"
"37",6,"Colston Loveland",CHI,"TE3","27","79","39.9","11.7","-1"
"38",6,"Kyren Williams",LAR,"RB15","21","50","40.1","7.4","-7"
"39",6,"Javonte Williams",DAL,"RB16","23","55","40.7","8.5","-2"
"40",6,"Breece Hall",NYJ,"RB17","28","51","41.3","6.4","-5"
