"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","3","1.3","0.7","+2"
"2",1,"Bijan Robinson",ATL,"RB1","2","5","2.4","1.0","0"
"3",1,"Puka Nacua",LAR,"WR2","1","6","3.1","1.0","+1"
"4",1,"Jaxon Smith-Njigba",SEA,"WR3","3","4","3.8","0.4","+1"
"5",2,"Jahmyr Gibbs",DET,"RB2","2","7","4.9","1.5","-4"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","9","7.3","1.3","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","6","11","7.5","1.5","+5"
"8",2,"Christian McCaffrey",SF,"RB3","5","17","8.0","2.7","-2"
"9",2,"Justin Jefferson",MIN,"WR6","6","11","8.9","1.3","+1"
"10",2,"Jonathan Taylor",IND,"RB4","7","17","9.9","2.5","-3"
"11",3,"Drake London",ATL,"WR7","9","15","11.7","1.5","+8"
"12",3,"Malik Nabers",NYG,"WR8","11","35","14.5","4.4","+12"
"13",3,"Nico Collins",HOU,"WR9","12","20","15.0","2.6","+12"
"14",3,"Rashee Rice",KC,"WR10","9","29","15.4","4.6","+6"
"15",3,"De'Von Achane",MIA,"RB5","10","33","17.0","6.2","-2"
"16",3,"Trey McBride",ARI,"TE1","16","22","17.5","2.5","+2"
"17",4,"George Pickens",DAL,"WR11","14","24","18.3","2.0","+10"
"18",4,"Ashton Jeanty",LV,"RB6","10","31","18.9","4.7","-9"
"19",4,"James Cook III",BUF,"RB7","7","31","19.0","6.5","-8"
"20",4,"Chris Olave",NO,"WR12","12","38","20.6","7.0","+10"
"21",4,"Brock Bowers",LV,"TE2","16","25","20.9","2.5","+1"
"22",4,"Chase Brown",CIN,"RB8","13","31","21.7","4.4","-7"
"23",4,"A.J. Brown",PHI,"WR13","14","35","21.8","5.7","+6"
"24",4,"Josh Allen",BUF,"QB1","25","30","25.3","1.0","+2"
"25",4,"Omarion Hampton",LAC,"RB9","17","41","25.9","6.3","-9"
"26",4,"Tetairoa McMillan",CAR,"WR14","19","38","27.7","5.4","+10"
"27",4,"Saquon Barkley",PHI,"RB10","21","34","28.1","4.8","-13"
"28",5,"Lamar Jackson",BAL,"QB2","27","41","28.7","3.2","+17"
"29",5,"Garrett Wilson",NYJ,"WR15","15","44","30.4","5.9","+5"
"30",5,"Kenneth Walker III",KC,"RB11","21","56","31.8","7.6","-13"
"31",5,"Tee Higgins",CIN,"WR16","20","40","32.3","5.8","+6"
"32",5,"DeVonta Smith",PHI,"WR17","18","51","32.4","9.8","+6"
"33",5,"Drake Maye",NE,"QB3","27","54","33.7","7.8","+25"
"34",5,"Josh Jacobs",GB,"RB12","24","43","37.3","4.4","-6"
"35",5,"Jeremiyah Love",ARI,"RB13","18","56","37.8","8.6","-14"
"36",5,"Zay Flowers",BAL,"WR18","20","51","39.2","6.6","+3"
"37",5,"Ladd McConkey",LAC,"WR19","26","50","39.5","5.7","+6"
"38",5,"Luther Burden III",CHI,"WR20","29","49","39.8","5.1","+3"
"39",6,"Jaylen Waddle",DEN,"WR21","28","55","41.1","7.3","+12"
"40",6,"Joe Burrow",CIN,"QB4","27","63","42.5","11.7","+16"
"41",6,"Colston Loveland",CHI,"TE3","32","66","42.5","12.9","+1"
"42",6,"Derrick Henry",BAL,"RB14","32","47","42.6","3.6","-19"
"43",6,"Breece Hall",NYJ,"RB15","33","53","43.4","5.7","-10"
"44",6,"Davante Adams",LAR,"WR22","29","75","44.3","8.3","+4"
"45",6,"Terry McLaurin",WAS,"WR23","36","52","44.5","4.3","+7"
"46",6,"Emeka Egbuka",TB,"WR24","29","62","46.4","7.0","-2"
"47",6,"Travis Etienne Jr.",NO,"RB16","39","53","46.4","4.0","-15"
"48",6,"Kyren Williams",LAR,"RB17","39","58","47.7","6.9","-17"
"49",6,"Javonte Williams",DAL,"RB18","31","61","48.1","8.1","-14"
"50",6,"Mike Evans",SF,"WR25","26","62","49.1","7.2","+7"
"51",6,"Bucky Irving",TB,"RB19","33","61","50.7","6.9","-11"
"52",6,"Jameson Williams",DET,"WR26","42","64","50.8","6.6","-2"
"53",6,"Jayden Daniels",WAS,"QB5","30","92","51.2","12.6","+8"
"54",6,"Tyler Warren",IND,"TE4","32","73","51.9","14.5","+11"
"55",6,"Jalen Hurts",PHI,"QB6","37","73","57.5","6.7","+12"
"56",6,"Cam Skattebo",NYG,"RB20","46","80","57.8","7.9","-10"
"57",7,"Christian Watson",GB,"WR27","45","91","58.7","9.8","+2"
"58",7,"DJ Moore",BUF,"WR28","36","115","59.9","15.9","-4"
"59",7,"TreVeyon Henderson",NE,"RB21","47","80","60.5","9.6","-12"
"60",7,"Rome Odunze",CHI,"WR29","40","94","62.5","14.0","0"
"61",7,"David Montgomery",HOU,"RB22","50","80","65.6","8.8","-12"
"62",7,"Quinshon Judkins",CLE,"RB23","47","78","66.0","8.2","-7"
"63",7,"D'Andre Swift",CHI,"RB24","56","78","66.1","6.1","-10"
"64",7,"Tucker Kraft",GB,"TE5","57","95","69.9","10.3","+20"
"65",7,"Courtland Sutton",DEN,"WR30","52","91","70.8","10.6","+16"
"66",7,"Marvin Harrison Jr.",ARI,"WR31","60","90","70.9","8.0","+4"
"67",7,"Justin Herbert",LAC,"QB7","59","104","72.0","11.3","+12"
"68",7,"Chris Godwin Jr.",TB,"WR32","51","100","72.5","11.6","+26"
"69",7,"DK Metcalf",PIT,"WR33","52","90","73.4","8.4","+8"
"70",7,"Jaxson Dart",NYG,"QB8","63","101","74.1","12.7","+12"
"71",7,"RJ Harvey",DEN,"RB25","46","117","74.3","13.7","-2"
"72",7,"Harold Fannin Jr.",CLE,"TE6","57","106","74.7","11.1","+11"
