"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Houston Texans",HOU,"1","2","1.1","0.3","0"
"2",1,"Denver Broncos",DEN,"2","6","2.6","1.0","+1"
"3",1,"Seattle Seahawks",SEA,"2","4","2.8","0.6","-1"
"4",2,"Los Angeles Rams",LAR,"3","8","4.7","1.2","0"
"5",2,"Philadelphia Eagles",PHI,"4","10","5.0","1.2","+3"
"6",2,"New England Patriots",NE,"1","9","6.8","1.6","+1"
"7",2,"Minnesota Vikings",MIN,"5","17","7.1","2.4","-1"
"8",2,"Jacksonville Jaguars",JAC,"7","12","8.6","1.3","+1"
"9",3,"Pittsburgh Steelers",PIT,"5","14","9.6","2.2","+1"
"10",3,"Cleveland Browns",CLE,"6","14","11.3","1.7","-5"
"11",3,"Los Angeles Chargers",LAC,"8","13","10.3","1.3","+1"
"12",3,"Green Bay Packers",GB,"9","20","11.7","2.4","+2"
"13",3,"Baltimore Ravens",BAL,"6","18","13.1","3.0","-2"
"14",3,"Kansas City Chiefs",KC,"2","19","13.9","3.1","+6"
"15",4,"Detroit Lions",DET,"11","22","15.6","2.5","+4"
"16",4,"Buffalo Bills",BUF,"14","21","16.2","1.8","0"
"17",4,"Atlanta Falcons",ATL,"7","29","17.6","4.1","-2"
"18",4,"Indianapolis Colts",IND,"4","25","18.5","4.5","+3"
"19",4,"Chicago Bears",CHI,"3","27","18.8","6.5","-6"
"20",4,"San Francisco 49ers",SF,"14","27","19.0","3.3","+4"
"21",4,"New Orleans Saints",NO,"8","24","19.8","3.7","-3"
"22",4,"New York Giants",NYG,"7","27","21.3","5.6","-5"
"23",5,"Carolina Panthers",CAR,"10","24","20.4","2.9","-1"
"24",5,"Dallas Cowboys",DAL,"5","30","21.1","6.7","+2"
"25",5,"Miami Dolphins",MIA,"9","30","23.1","5.3","+3"
"26",5,"Tampa Bay Buccaneers",TB,"10","27","23.4","3.6","-3"
"27",5,"Washington Commanders",WAS,"6","30","24.0","6.7","+2"
"28",5,"Tennessee Titans",TEN,"12","31","25.1","4.6","-3"
"29",5,"Cincinnati Bengals",CIN,"19","31","27.0","3.6","+1"
"30",5,"Las Vegas Raiders",LV,"28","32","29.5","1.2","-3"
"31",5,"New York Jets",NYJ,"28","32","30.6","1.1","0"
"32",5,"Arizona Cardinals",ARI,"27","32","31.2","1.4","0"
