"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Roquan Smith",BAL,"LB1","2","8","4.0","2.8","-"
"2",1,"Aidan Hutchinson",DET,"DE1","2","6","4.7","1.9","-"
"3",1,"Zack Baun",PHI,"LB2","3","14","7.0","5.0","-"
"4",1,"Maxx Crosby",LV,"DE2","3","9","7.0","2.8","-"
"5",2,"Myles Garrett",CLE,"DE3","1","11","7.7","4.7","-"
"6",2,"Fred Warner",SF,"LB3","3","16","7.7","5.9","-"
"7",2,"Foyesade Oluokun",JAC,"LB4","5","20","10.0","7.1","-"
"8",2,"Jamien Sherwood",NYJ,"LB5","7","21","12.0","6.4","-"
"9",3,"Zaire Franklin",GB,"LB6","1","40","14.0","18.4","-"
"10",3,"Ernest Jones IV",SEA,"LB7","10","26","16.0","7.1","-"
"11",3,"Blake Cashman",MIN,"LB8","14","19","16.0","2.2","-"
"12",3,"Jordyn Brooks",MIA,"LB9","5","23","17.0","8.5","-"
"13",3,"Robert Spillane",NE,"LB10","10","34","18.7","10.9","-"
"14",3,"Alex Singleton",DEN,"LB11","14","36","21.7","10.1","-"
"15",3,"Jack Campbell",DET,"LB12","6","30","22.0","11.3","-"
"16",4,"Kyle Hamilton",BAL,"S1","20","30","23.3","4.7","-"
"17",4,"Carson Schwesinger",CLE,"LB13","7","33","24.3","12.3","-"
"18",4,"Budda Baker",ARI,"S2","16","42","24.7","12.3","-"
"19",4,"T.J. Edwards",CHI,"LB14","7","60","25.0","24.8","-"
"20",4,"Nick Bosa",SF,"DE4","15","37","25.3","9.0","-"
"21",4,"Edgerrin Cooper",GB,"LB15","25","35","28.3","4.7","-"
"22",4,"Quay Walker",LV,"LB16","25","32","29.3","3.1","-"
"23",4,"T.J. Watt",PIT,"LB17","10","43","30.0","14.3","-"
"24",4,"Will Anderson Jr.",HOU,"DE5","4","48","30.7","19.1","-"
"25",4,"Derwin James Jr.",LAC,"S3","26","41","31.0","7.1","-"
"26",4,"Daiyan Henley",LAC,"LB18","21","52","31.3","14.6","-"
"27",4,"Nick Bolton",KC,"LB19","31","38","33.7","3.1","-"
"28",4,"Bobby Wagner",FA,"LB20","22","57","34.3","16.1","-"
"29",5,"Quincy Williams",CLE,"LB21","36","37","36.3","0.5","-"
"30",5,"Brian Branch",DET,"S4","13","13","13.0","0.0","-"
"31",5,"Antoine Winfield Jr.",TB,"S5","28","77","44.3","23.1","-"
"32",5,"Micah Parsons",GB,"LB22","29","56","44.3","11.3","-"
"33",5,"Kaden Elliss",NO,"LB23","17","17","17.0","0.0","-"
"34",5,"Jessie Bates III",ATL,"S6","35","67","45.7","15.1","-"
"35",5,"Terrel Bernard",BUF,"LB24","18","102","46.0","39.6","-"
"36",5,"Logan Wilson",FA,"LB25","19","19","19.0","0.0","-"
"37",5,"Patrick Queen",PIT,"LB26","41","61","48.3","9.0","-"
"38",6,"Tremaine Edmunds",NYG,"LB27","33","58","49.0","11.3","-"
"39",6,"Lavonte David",FA,"LB28","27","27","27.0","0.0","-"
"40",6,"Tyler Nubin",NYG,"S7","39","78","52.0","18.4","-"
"41",6,"Jeremy Chinn",LV,"S8","45","65","52.0","9.2","-"
"42",6,"Xavier McKinney",GB,"S9","43","57","52.3","6.6","-"
"43",6,"Azeez Al-Shaair",HOU,"LB29","29","100","52.7","33.5","-"
"44",6,"Frankie Luvu",WAS,"LB30","34","34","34.0","0.0","-"
"45",6,"Danielle Hunter",HOU,"DE6","11","83","56.3","32.2","-"
"46",6,"Nick Cross",WAS,"S10","53","63","56.3","4.7","-"
"47",6,"Devin Lloyd",CAR,"LB31","54","59","57.0","2.2","-"
"48",6,"Kevin Byard III",NE,"S11","49","76","58.3","12.5","-"
"49",6,"Trey Hendrickson",BAL,"DE7","51","73","58.3","10.4","-"
"50",6,"Julian Love",SEA,"S12","38","42","40.0","2.0","-"
"51",6,"Jaquan Brisker",PIT,"S13","38","42","40.0","2.0","-"
"52",6,"Jared Verse",LAR,"DE8","23","86","60.3","27.0","-"
"53",6,"Bobby Okereke",FA,"LB32","40","41","40.5","0.5","-"
"54",7,"Alex Anzalone",TB,"LB33","55","68","62.0","5.3","-"
"55",7,"Jeffery Simmons",TEN,"DT1","17","85","62.3","32.1","-"
