"RK","PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Jeremiyah Love",ARI,"RB1","20","Coach Overall rating","Coach Upside rating","Coach Bust rating","1","1","1.0","0.0","0"
"2","Carnell Tate",TEN,"WR1","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","2","5","2.4","0.7","-"
"3","Jordyn Tyson",NO,"WR2","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","2","7","3.4","1.0","-"
"4","Makai Lemon",PHI,"WR3","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","2","6","3.9","0.9","-"
"5","Jadarian Price",SEA,"RB2","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","3","9","5.8","1.3","-3"
"6","KC Concepcion",CLE,"WR4","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","4","12","6.5","1.9","-"
"7","Omar Cooper Jr.",NYJ,"WR5","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","5","12","8.3","1.7","-"
"8","Kenyon Sadiq",NYJ,"TE1","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","6","16","8.4","2.1","-"
"9","Fernando Mendoza",LV,"QB1","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","2","22","9.8","4.4","-"
"10","Eli Stowers",PHI,"TE2","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","7","24","10.2","3.5","-"
"11","Denzel Boston",CLE,"WR6","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","7","18","11.2","2.5","-"
"12","Jonah Coleman",DEN,"RB3","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","7","22","14.4","4.0","-9"
"13","Antonio Williams",WAS,"WR7","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","8","26","14.6","4.6","-"
"14","Chris Bell",MIA,"WR8","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","10","31","16.1","5.1","-"
"15","Germie Bernard",PIT,"WR9","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","11","28","17.1","4.5","-"
"16","Nick Singleton",TEN,"RB4","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","11","37","18.6","5.8","-10"
"17","Ty Simpson",LAR,"QB2","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","8","33","21.0","6.4","-"
"18","Chris Brazzell II",CAR,"WR10","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","13","34","21.4","5.4","-"
"19","Zachariah Branch",ATL,"WR11","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","13","43","22.0","6.3","-"
"20","Emmett Johnson",KC,"RB5","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","11","36","22.5","6.6","-15"
"21","Kaytron Allen",WAS,"RB6","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","11","37","22.9","6.6","-14"
"22","Elijah Sarratt",BAL,"WR12","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","13","46","24.4","7.5","-"
