"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","1","2","1.0","0.2","-"
"2",1,"Lamar Jackson",BAL,"QB2","2","5","2.4","0.7","-"
"3",1,"Drake Maye",NE,"QB3","2","5","3.2","0.9","-"
"4",1,"Joe Burrow",CIN,"QB4","2","9","4.5","1.6","-"
"5",2,"Jayden Daniels",WAS,"QB5","3","18","5.5","2.6","-"
"6",2,"Jalen Hurts",PHI,"QB6","4","16","6.5","2.3","-"
"7",2,"Ja'Marr Chase",CIN,"WR1","7","12","9.0","2.0","-"
"8",2,"Bijan Robinson",ATL,"RB1","6","12","9.3","1.7","-"
"9",3,"Jahmyr Gibbs",DET,"RB2","7","13","10.1","1.5","-"
"10",3,"Puka Nacua",LAR,"WR2","7","15","11.8","1.9","-"
"11",3,"Justin Herbert",LAC,"QB7","6","29","12.1","5.6","-"
"12",3,"Jaxson Dart",NYG,"QB8","8","26","12.4","5.4","-"
"13",3,"Jaxon Smith-Njigba",SEA,"WR3","11","14","13.1","1.0","-"
"14",3,"Caleb Williams",CHI,"QB9","5","26","14.6","5.1","-"
"15",3,"Trevor Lawrence",JAC,"QB10","6","26","15.0","4.6","-"
"16",3,"Dak Prescott",DAL,"QB11","9","25","16.8","3.6","-"
"17",3,"Christian McCaffrey",SF,"RB3","12","25","16.8","4.2","-"
"18",4,"CeeDee Lamb",DAL,"WR4","15","24","18.3","3.1","-"
"19",4,"Amon-Ra St. Brown",DET,"WR5","14","23","18.4","2.9","-"
"20",4,"Jonathan Taylor",IND,"RB4","13","24","19.5","3.9","-"
"21",4,"Brock Purdy",SF,"QB12","9","29","20.2","4.2","-"
"22",4,"Justin Jefferson",MIN,"WR6","15","35","23.2","4.6","-"
"23",4,"James Cook III",BUF,"RB5","13","30","23.7","3.2","-"
"24",4,"Patrick Mahomes II",KC,"QB13","16","41","26.4","5.5","-"
"25",5,"Drake London",ATL,"WR7","20","37","27.6","5.6","-"
"26",5,"De'Von Achane",MIA,"RB6","22","42","28.2","5.4","-"
"27",5,"Matthew Stafford",LAR,"QB14","16","38","28.3","5.8","-"
"28",5,"Ashton Jeanty",LV,"RB7","20","39","28.7","4.7","-"
"29",5,"Bo Nix",DEN,"QB15","17","41","28.9","5.1","-"
"30",5,"Malik Nabers",NYG,"WR8","21","53","33.2","6.4","-"
"31",5,"Nico Collins",HOU,"WR9","24","45","33.4","5.6","-"
"32",5,"Trey McBride",ARI,"TE1","28","48","34.3","5.0","-"
"33",5,"Rashee Rice",KC,"WR10","21","53","34.3","7.9","-"
"34",5,"Saquon Barkley",PHI,"RB8","24","48","35.3","7.1","-"
"35",5,"Chase Brown",CIN,"RB9","25","45","35.3","5.6","-"
"36",5,"Omarion Hampton",LAC,"RB10","25","62","36.6","7.7","-"
"37",5,"Brock Bowers",LV,"TE2","28","49","37.3","4.2","-"
"38",5,"George Pickens",DAL,"WR11","27","46","39.0","4.1","-"
"39",6,"Jared Goff",DET,"QB16","18","55","40.6","8.3","-"
"40",6,"Kenneth Walker III",KC,"RB11","24","73","41.7","9.7","-"
"41",6,"Kyler Murray",MIN,"QB17","20","64","41.9","12.9","-"
"42",6,"Chris Olave",NO,"WR12","34","62","43.3","7.9","-"
"43",6,"Jordan Love",GB,"QB18","29","56","44.9","10.0","-"
"44",6,"A.J. Brown",PHI,"WR13","34","77","45.2","7.4","-"
"45",6,"Jeremiyah Love",ARI,"RB12","35","59","46.1","6.3","-"
"46",6,"Derrick Henry",BAL,"RB13","33","58","46.5","6.5","-"
"47",6,"Malik Willis",MIA,"QB19","29","70","47.1","11.1","-"
"48",6,"Tyler Shough",NO,"QB20","30","62","47.4","10.0","-"
"49",6,"Josh Jacobs",GB,"RB14","34","59","47.4","6.7","-"
