"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","1","2","1.0","0.2","-"
"2",1,"Lamar Jackson",BAL,"QB2","2","4","2.3","0.5","-"
"3",1,"Drake Maye",NE,"QB3","2","5","3.2","0.8","-"
"4",1,"Joe Burrow",CIN,"QB4","2","9","4.5","1.6","-"
"5",2,"Jayden Daniels",WAS,"QB5","3","18","5.6","2.7","-"
"6",2,"Jalen Hurts",PHI,"QB6","4","16","6.2","2.1","-"
"7",2,"Jahmyr Gibbs",DET,"RB1","7","13","9.3","2.0","-"
"8",3,"Bijan Robinson",ATL,"RB2","7","21","10.7","3.1","-"
"9",3,"Ja'Marr Chase",CIN,"WR1","10","14","11.3","1.3","-"
"10",3,"Justin Herbert",LAC,"QB7","6","29","11.5","5.6","-"
"11",3,"Jaxson Dart",NYG,"QB8","8","26","11.9","5.5","-"
"12",3,"Puka Nacua",LAR,"WR2","10","40","12.7","5.4","-"
"13",3,"Jaxon Smith-Njigba",SEA,"WR3","10","26","13.6","2.8","-"
"14",3,"Caleb Williams",CHI,"QB9","5","26","14.6","5.2","-"
"15",3,"Trevor Lawrence",JAC,"QB10","6","26","15.1","4.6","-"
"16",3,"Jonathan Taylor",IND,"RB3","7","35","15.7","6.4","-"
"17",3,"Dak Prescott",DAL,"QB11","8","23","16.3","3.4","-"
"18",4,"Amon-Ra St. Brown",DET,"WR4","14","41","19.3","5.3","-"
"19",4,"CeeDee Lamb",DAL,"WR5","15","43","19.6","5.5","-"
"20",4,"Brock Purdy",SF,"QB12","11","26","20.1","3.9","-"
"21",4,"Christian McCaffrey",SF,"RB4","13","44","21.0","8.2","-"
"22",4,"James Cook III",BUF,"RB5","11","43","23.9","4.6","-"
"23",4,"Patrick Mahomes II",KC,"QB13","16","41","25.8","6.0","-"
"24",4,"Drake London",ATL,"WR6","21","45","26.1","6.2","-"
"25",4,"Justin Jefferson",MIN,"WR7","21","46","27.1","6.9","-"
"26",4,"Matthew Stafford",LAR,"QB14","16","38","27.4","6.2","-"
"27",4,"Bo Nix",DEN,"QB15","15","41","28.3","5.8","-"
"28",5,"Malik Nabers",NYG,"WR8","21","54","30.6","8.3","-"
"29",5,"Nico Collins",HOU,"WR9","21","53","32.1","7.1","-"
"30",5,"Saquon Barkley",PHI,"RB6","24","49","33.6","8.6","-"
"31",5,"De'Von Achane",MIA,"RB7","20","60","35.1","10.6","-"
"32",5,"Derrick Henry",BAL,"RB8","25","54","35.1","7.6","-"
"33",5,"Ashton Jeanty",LV,"RB9","24","52","35.3","7.0","-"
"34",5,"Rashee Rice",KC,"WR10","22","54","36.6","7.8","-"
"35",5,"George Pickens",DAL,"WR11","27","55","36.6","4.6","-"
"36",5,"Jared Goff",DET,"QB16","16","55","39.1","9.4","-"
"37",5,"Brock Bowers",LV,"TE1","31","56","39.5","7.4","-"
"38",5,"Trey McBride",ARI,"TE2","31","77","39.9","14.0","-"
"39",5,"Kyler Murray",MIN,"QB17","17","64","41.6","13.7","-"
"40",6,"Jordan Love",GB,"QB18","23","56","43.3","10.3","-"
"41",6,"Omarion Hampton",LAC,"RB10","25","67","43.5","9.7","-"
"42",6,"A.J. Brown",PHI,"WR12","35","58","43.5","6.0","-"
"43",6,"Kenneth Walker III",KC,"RB11","28","73","44.9","9.2","-"
"44",6,"Chris Olave",NO,"WR13","27","72","45.2","9.6","-"
"45",6,"Chase Brown",CIN,"RB12","28","57","45.4","6.4","-"
"46",6,"Malik Willis",MIA,"QB19","29","70","45.4","11.7","-"
"47",6,"Josh Jacobs",GB,"RB13","28","64","45.5","8.7","-"
"48",6,"Tyler Shough",NO,"QB20","26","60","46.7","10.8","-"
"49",6,"Tee Higgins",CIN,"WR14","42","59","46.9","4.7","-"
"50",6,"Jeremiyah Love",ARI,"RB14","33","69","47.7","11.3","-"
"51",6,"Baker Mayfield",TB,"QB21","22","60","48.1","10.3","-"
"52",6,"Tetairoa McMillan",CAR,"WR15","42","68","49.8","6.3","-"
"53",6,"Tucker Kraft",GB,"TE3","39","96","53.8","17.1","-"
"54",6,"Davante Adams",LAR,"WR16","43","88","54.9","9.7","-"
"55",7,"Kyren Williams",LAR,"RB15","44","75","58.0","7.3","-"
"56",7,"Javonte Williams",DAL,"RB16","36","76","59.0","8.8","-"
"57",7,"C.J. Stroud",HOU,"QB22","24","70","59.1","8.6","-"
"58",7,"Sam Darnold",SEA,"QB23","25","76","60.7","9.5","-"
"59",7,"Travis Etienne Jr.",NO,"RB17","48","83","63.9","7.0","-"
"60",7,"Breece Hall",NYJ,"RB18","52","73","63.9","6.0","-"
"61",7,"DeVonta Smith",PHI,"WR17","43","90","64.5","13.0","-"
"62",7,"Zay Flowers",BAL,"WR18","43","81","64.6","8.5","-"
"63",7,"Garrett Wilson",NYJ,"WR19","51","85","65.7","7.5","-"
"64",7,"Jameson Williams",DET,"WR20","51","89","66.2","10.8","-"
"65",7,"Bryce Young",CAR,"QB24","28","83","66.5","9.5","-"
"66",7,"Terry McLaurin",WAS,"WR21","53","81","67.5","8.0","-"
"67",7,"Colston Loveland",CHI,"TE4","39","88","67.8","13.8","-"
"68",7,"Emeka Egbuka",TB,"WR22","47","89","69.1","13.2","-"
"69",7,"Jaylen Waddle",DEN,"WR23","47","93","69.2","12.1","-"
"70",7,"Cam Ward",TEN,"QB25","33","83","69.6","9.3","-"
"71",7,"Bucky Irving",TB,"RB19","52","86","69.8","7.5","-"
"72",7,"Ladd McConkey",LAC,"WR24","58","92","70.7","9.8","-"
"73",7,"Christian Watson",GB,"WR25","54","90","72.3","8.9","-"
"75",8,"Daniel Jones",IND,"QB26","27","184","78.0","23.8","-"
"76",8,"TreVeyon Henderson",NE,"RB20","64","98","78.3","8.4","-"
"77",8,"Mike Evans",SF,"WR27","51","95","78.4","10.9","-"
"78",8,"Cam Skattebo",NYG,"RB21","69","97","78.5","6.8","-"
"79",8,"Carnell Tate",TEN,"WR28","47","109","78.9","20.0","-"
"80",8,"Quinshon Judkins",CLE,"RB22","62","92","79.9","7.1","-"
"81",8,"D'Andre Swift",CHI,"RB23","73","88","80.2","3.7","-"
"82",8,"David Montgomery",HOU,"RB24","67","92","80.8","6.9","-"
"83",8,"Jacoby Brissett",ARI,"QB27","22","127","81.5","22.6","-"
"84",8,"Rome Odunze",CHI,"WR29","47","102","82.0","12.1","-"
"85",8,"DJ Moore",BUF,"WR30","47","115","83.2","13.5","-"
"86",8,"Bhayshul Tuten",JAC,"RB25","69","100","83.5","6.2","-"
"87",8,"Jadarian Price",SEA,"RB26","68","119","83.6","10.9","-"
"88",8,"Jordyn Tyson",NO,"WR31","53","111","86.1","21.2","-"
"89",8,"Tyler Warren",IND,"TE5","77","96","88.4","4.4","-"
"90",8,"Alec Pierce",IND,"WR32","67","111","91.7","9.0","-"
"91",8,"Makai Lemon",PHI,"WR33","54","118","92.2","19.6","-"
"92",8,"Fernando Mendoza",LV,"QB28","30","193","93.4","32.8","-"
"93",8,"DK Metcalf",PIT,"WR34","72","107","95.3","8.1","-"
"94",8,"Jaylen Warren",PIT,"RB27","86","112","96.5","7.0","-"
"95",8,"Marvin Harrison Jr.",ARI,"WR35","85","113","97.5","6.6","-"
"96",8,"Courtland Sutton",DEN,"WR36","81","109","98.9","6.3","-"
"97",8,"Chuba Hubbard",CAR,"RB28","73","131","99.5","14.6","-"
"98",9,"Harold Fannin Jr.",CLE,"TE6","88","120","100.0","7.9","-"
"99",9,"Rico Dowdle",PIT,"RB29","86","120","101.1","9.2","-"
"100",9,"Blake Corum",LAR,"RB30","91","116","101.7","6.9","-"
"101",9,"Sam LaPorta",DET,"TE7","88","111","102.0","4.8","-"
"102",9,"Kyle Monangai",CHI,"RB31","86","116","102.5","9.2","-"
"103",9,"Rhamondre Stevenson",NE,"RB32","91","122","102.6","8.2","-"
"104",9,"RJ Harvey",DEN,"RB33","75","131","104.0","14.7","-"
"105",9,"Brian Thomas Jr.",JAC,"WR37","89","121","104.3","7.4","-"
"106",9,"Tony Pollard",TEN,"RB34","91","124","104.7","8.0","-"
"107",9,"Kyle Pitts Sr.",ATL,"TE8","96","117","105.5","6.2","-"
"108",9,"Michael Wilson",ARI,"WR38","89","127","107.4","9.2","-"
"109",9,"J.K. Dobbins",DEN,"RB35","84","139","111.6","13.0","-"
"110",9,"Chris Godwin Jr.",TB,"WR39","97","128","112.0","7.1","-"
"111",9,"Jordan Addison",MIN,"WR40","99","129","112.8","6.7","-"
"112",9,"Jacory Croskey-Merritt",WAS,"RB36","97","134","113.6","8.3","-"
"113",9,"Dalton Kincaid",BUF,"TE9","99","136","115.2","8.4","-"
"114",9,"Parker Washington",JAC,"WR41","99","137","115.3","11.4","-"
"115",9,"Oronde Gadsden II",LAC,"TE10","98","142","116.5","8.2","-"
"116",9,"Ricky Pearsall",SF,"WR42","102","149","121.2","12.8","-"
"117",9,"Jakobi Meyers",JAC,"WR43","100","139","121.9","9.0","-"
"118",9,"Quentin Johnston",LAC,"WR44","106","149","123.0","9.3","-"
"119",9,"Michael Penix Jr.",ATL,"QB29","34","185","108.3","29.8","-"
"120",9,"Geno Smith",NYJ,"QB30","32","185","119.0","37.1","-"
"121",9,"Aaron Jones Sr.",MIN,"RB37","110","144","127.7","7.7","-"
"122",10,"Dallas Goedert",PHI,"TE11","114","147","129.9","9.2","-"
"123",10,"Jordan Mason",MIN,"RB38","104","148","130.8","10.0","-"
"124",10,"Zach Charbonnet",SEA,"RB39","91","166","131.0","18.3","-"
"125",10,"George Kittle",SF,"TE12","86","189","131.0","24.6","-"
"126",10,"Michael Pittman Jr.",PIT,"WR45","119","148","131.1","6.8","-"
"127",10,"Jayden Reed",GB,"WR46","114","156","132.2","10.5","-"
"128",10,"Tyler Allgeier",ARI,"RB40","104","166","132.7","15.4","-"
"129",10,"Jayden Higgins",HOU,"WR47","121","156","134.6","9.6","-"
"130",10,"Travis Kelce",KC,"TE13","109","174","135.7","18.5","-"
"131",10,"Woody Marks",HOU,"RB41","104","175","136.5","19.2","-"
"132",10,"Chris Rodriguez Jr.",JAC,"RB42","103","185","136.8","22.9","-"
"133",10,"Jake Ferguson",DAL,"TE14","120","164","138.8","16.9","-"
"134",10,"Wan'Dale Robinson",TEN,"WR48","123","168","139.0","9.2","-"
"135",10,"Kenneth Gainwell",TB,"RB43","126","153","139.1","7.0","-"
"136",10,"Rachaad White",WAS,"RB44","113","162","139.4","12.2","-"
"137",10,"Tyrone Tracy Jr.",NYG,"RB45","128","165","141.2","8.0","-"
"138",10,"Romeo Doubs",NE,"WR49","114","191","142.6","17.2","-"
"139",10,"KC Concepcion",CLE,"WR50","100","201","143.5","25.6","-"
"140",10,"Xavier Worthy",KC,"WR51","117","170","143.6","11.9","-"
"141",10,"Josh Downs",IND,"WR52","123","179","145.3","12.9","-"
"142",10,"Isaiah Likely",NYG,"TE15","112","194","145.4","22.6","-"
"143",10,"Mark Andrews",BAL,"TE16","120","174","147.2","16.3","-"
"144",10,"Jonathon Brooks",CAR,"RB46","110","209","148.8","27.1","-"
"145",10,"Khalil Shakir",BUF,"WR53","127","173","150.3","10.5","-"
"146",10,"Hunter Henry",NE,"TE17","123","182","152.8","11.7","-"
"147",10,"Jonah Coleman",DEN,"RB47","126","215","153.4","21.8","-"
"148",10,"Jalen Coker",CAR,"WR54","131","173","154.9","11.3","-"
"149",10,"Brenton Strange",JAC,"TE18","120","198","155.7","18.7","-"
"150",10,"Isiah Pacheco",DET,"RB48","134","181","155.9","8.7","-"
"151",10,"Brandon Aiyuk",SF,"WR55","121","242","156.3","28.0","-"
"152",10,"Braelon Allen",NYJ,"RB49","122","179","156.6","13.8","-"
"153",10,"Denzel Boston",CLE,"WR56","108","220","157.3","28.3","-"
"154",10,"Juwan Johnson",NO,"TE19","124","194","157.7","18.6","-"
"155",10,"James Conner",ARI,"RB50","113","225","157.8","26.5","-"
"156",10,"Matthew Golden",GB,"WR57","128","195","159.1","18.8","-"
"157",10,"Shedeur Sanders",CLE,"QB31","76","268","138.5","40.5","-"
"158",11,"Keaton Mitchell",LAC,"RB51","143","209","161.2","13.4","-"
"159",11,"Alvin Kamara",NO,"RB52","132","209","161.2","20.1","-"
"160",11,"Kenyon Sadiq",NYJ,"TE20","114","207","161.5","31.9","-"
"161",11,"Tank Bigsby",PHI,"RB53","145","185","161.6","9.5","-"
"162",11,"Brian Robinson Jr.",ATL,"RB54","145","188","162.3","10.8","-"
"163",11,"Omar Cooper Jr.",NYJ,"WR58","128","253","162.6","29.9","-"
