"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","1","2","1.0","0.2","-"
"2",1,"Lamar Jackson",BAL,"QB2","2","4","2.3","0.5","-"
"3",1,"Drake Maye",NE,"QB3","2","5","3.2","0.8","-"
"4",2,"Joe Burrow",CIN,"QB4","2","9","4.6","1.7","-"
"5",2,"Jayden Daniels",WAS,"QB5","3","18","5.7","2.7","-"
"6",2,"Ja'Marr Chase",CIN,"WR1","6","12","6.7","1.8","-"
"7",2,"Jalen Hurts",PHI,"QB6","4","16","6.8","2.1","-"
"8",3,"Bijan Robinson",ATL,"RB1","10","15","10.7","1.5","-"
"9",3,"Puka Nacua",LAR,"WR2","6","17","11.0","2.1","-"
"10",3,"Justin Herbert",LAC,"QB7","7","29","11.6","5.5","-"
"11",3,"Jaxson Dart",NYG,"QB8","8","26","11.9","5.5","-"
"12",3,"Jaxon Smith-Njigba",SEA,"WR3","11","15","11.9","0.7","-"
"13",3,"Jahmyr Gibbs",DET,"RB2","10","42","13.9","5.5","-"
"14",3,"Caleb Williams",CHI,"QB9","5","26","14.6","5.2","-"
"15",3,"Trevor Lawrence",JAC,"QB10","7","26","15.1","4.5","-"
"16",3,"Dak Prescott",DAL,"QB11","9","23","16.3","3.4","-"
"17",4,"Amon-Ra St. Brown",DET,"WR4","12","41","18.5","5.3","-"
"18",4,"CeeDee Lamb",DAL,"WR5","14","43","18.6","5.7","-"
"19",4,"Christian McCaffrey",SF,"RB3","13","42","19.2","7.3","-"
"20",4,"Brock Purdy",SF,"QB12","11","26","20.2","3.9","-"
"21",4,"Justin Jefferson",MIN,"WR6","14","44","21.6","4.9","-"
"22",4,"Jonathan Taylor",IND,"RB4","15","45","22.0","6.0","-"
"23",4,"Drake London",ATL,"WR7","21","47","24.8","4.6","-"
"24",4,"Patrick Mahomes II",KC,"QB13","16","41","25.9","5.9","-"
"25",4,"Matthew Stafford",LAR,"QB14","16","38","27.4","6.2","-"
"26",4,"Bo Nix",DEN,"QB15","15","41","28.4","5.7","-"
"27",4,"Malik Nabers",NYG,"WR8","23","52","28.4","7.1","-"
"28",5,"Nico Collins",HOU,"WR9","24","49","29.4","5.7","-"
"29",5,"Rashee Rice",KC,"WR10","21","47","30.9","7.2","-"
"30",5,"De'Von Achane",MIA,"RB5","22","55","31.8","9.3","-"
"31",5,"Trey McBride",ARI,"TE1","31","51","34.1","5.0","-"
"32",5,"George Pickens",DAL,"WR11","27","50","34.8","4.3","-"
"33",5,"James Cook III",BUF,"RB6","15","48","34.9","8.5","-"
"34",5,"Ashton Jeanty",LV,"RB7","22","51","35.3","7.2","-"
"35",5,"Chris Olave",NO,"WR12","24","62","36.8","10.3","-"
"36",5,"A.J. Brown",PHI,"WR13","27","57","38.3","7.0","-"
"37",5,"Brock Bowers",LV,"TE2","31","57","38.3","5.2","-"
"38",5,"Jared Goff",DET,"QB16","18","55","39.2","9.2","-"
"39",5,"Chase Brown",CIN,"RB8","25","48","39.3","5.6","-"
"40",5,"Kyler Murray",MIN,"QB17","17","64","41.7","13.6","-"
"41",6,"Jordan Love",GB,"QB18","24","56","43.3","10.3","-"
"42",6,"Omarion Hampton",LAC,"RB9","33","62","43.5","7.2","-"
"43",6,"Tetairoa McMillan",CAR,"WR14","35","57","44.7","5.5","-"
"44",6,"Saquon Barkley",PHI,"RB10","37","66","44.8","5.8","-"
"45",6,"Malik Willis",MIA,"QB19","29","70","45.4","11.7","-"
"46",6,"Tyler Shough",NO,"QB20","26","60","46.7","10.8","-"
"47",6,"Garrett Wilson",NYJ,"WR15","43","65","47.8","6.0","-"
"48",6,"Baker Mayfield",TB,"QB21","23","60","48.2","10.2","-"
"49",6,"Kenneth Walker III",KC,"RB11","37","77","48.4","8.3","-"
"50",6,"Tee Higgins",CIN,"WR16","36","70","49.8","6.7","-"
"51",6,"DeVonta Smith",PHI,"WR17","34","72","50.8","11.7","-"
"52",6,"Josh Jacobs",GB,"RB12","42","74","53.9","6.5","-"
"53",6,"Jeremiyah Love",ARI,"RB13","33","77","55.8","10.5","-"
"54",7,"Ladd McConkey",LAC,"WR18","43","79","56.9","8.3","-"
"55",7,"Zay Flowers",BAL,"WR19","36","73","57.3","8.1","-"
"57",7,"C.J. Stroud",HOU,"QB22","25","70","59.2","8.4","-"
"58",7,"Jaylen Waddle",DEN,"WR21","44","77","59.3","9.0","-"
"59",7,"Colston Loveland",CHI,"TE3","47","90","60.3","16.2","-"
"60",7,"Sam Darnold",SEA,"QB23","26","76","60.8","9.4","-"
"61",7,"Derrick Henry",BAL,"RB14","48","80","60.9","6.0","-"
"62",7,"Breece Hall",NYJ,"RB15","48","77","62.5","7.9","-"
"63",7,"Davante Adams",LAR,"WR22","45","93","63.1","10.0","-"
"64",7,"Terry McLaurin",WAS,"WR23","52","76","63.6","6.4","-"
"65",7,"Emeka Egbuka",TB,"WR24","45","82","66.2","8.1","-"
"66",7,"Travis Etienne Jr.",NO,"RB16","54","77","66.5","5.9","-"
"67",7,"Bryce Young",CAR,"QB24","28","83","66.5","9.5","-"
"68",7,"Kyren Williams",LAR,"RB17","54","79","67.2","8.8","-"
"69",7,"Javonte Williams",DAL,"RB18","46","81","68.2","10.6","-"
"70",7,"Cam Ward",TEN,"QB25","33","83","69.6","9.3","-"
"71",7,"Mike Evans",SF,"WR25","52","81","69.9","7.2","-"
"72",7,"Jameson Williams",DET,"WR26","59","90","70.9","7.7","-"
"73",7,"Bucky Irving",TB,"RB19","48","87","71.1","8.7","-"
"74",7,"Tyler Warren",IND,"TE4","47","93","71.5","16.3","-"
"75",8,"Daniel Jones",IND,"QB26","27","183","78.0","23.7","-"
"76",8,"Cam Skattebo",NYG,"RB20","65","99","79.1","7.8","-"
"77",8,"Christian Watson",GB,"WR27","63","110","79.5","10.0","-"
"78",8,"DJ Moore",BUF,"WR28","52","128","80.2","15.1","-"
"79",8,"TreVeyon Henderson",NE,"RB21","67","103","81.4","10.1","-"
"80",8,"Jacoby Brissett",ARI,"QB27","22","127","81.5","22.6","-"
"81",8,"Rome Odunze",CHI,"WR29","57","112","82.8","13.2","-"
"82",8,"D'Andre Swift",CHI,"RB22","77","97","86.5","6.0","-"
"83",8,"David Montgomery",HOU,"RB23","71","99","86.7","8.1","-"
"84",8,"Quinshon Judkins",CLE,"RB24","71","98","86.8","7.7","-"
"85",8,"Tucker Kraft",GB,"TE5","76","113","90.4","10.1","-"
"86",8,"Courtland Sutton",DEN,"WR30","73","110","91.3","9.9","-"
"87",8,"Marvin Harrison Jr.",ARI,"WR31","80","109","91.7","7.8","-"
"88",8,"Carnell Tate",TEN,"WR32","68","117","92.6","16.9","-"
"89",8,"Chris Godwin Jr.",TB,"WR33","75","116","92.6","10.2","-"
"90",8,"Fernando Mendoza",LV,"QB28","30","192","93.3","32.5","-"
"91",8,"DK Metcalf",PIT,"WR34","73","110","93.7","8.1","-"
"92",8,"RJ Harvey",DEN,"RB25","65","130","94.0","13.3","-"
"93",8,"Harold Fannin Jr.",CLE,"TE6","78","121","94.2","10.3","-"
"94",8,"Bhayshul Tuten",JAC,"RB26","81","108","95.1","6.9","-"
"95",8,"Jaylen Warren",PIT,"RB27","88","105","95.2","5.0","-"
"96",8,"Michael Wilson",ARI,"WR35","70","122","95.3","13.0","-"
"97",8,"Jordyn Tyson",NO,"WR36","73","117","96.8","12.6","-"
"98",8,"Chuba Hubbard",CAR,"RB28","74","132","96.9","14.6","-"
"99",8,"Jakobi Meyers",JAC,"WR37","80","114","98.0","9.2","-"
"100",8,"Jadarian Price",SEA,"RB29","79","111","98.1","7.5","-"
"101",9,"Kyle Pitts Sr.",ATL,"TE7","86","115","102.1","7.6","-"
"102",9,"Alec Pierce",IND,"WR38","74","122","102.7","12.8","-"
"103",9,"Sam LaPorta",DET,"TE8","88","119","103.1","5.5","-"
"104",9,"Makai Lemon",PHI,"WR39","84","116","103.6","9.3","-"
"105",9,"Rico Dowdle",PIT,"RB30","92","120","104.3","6.6","-"
"106",9,"Michael Pittman Jr.",PIT,"WR40","83","131","105.6","11.6","-"
"107",9,"Brian Thomas Jr.",JAC,"WR41","75","127","105.6","11.3","-"
"108",9,"Rhamondre Stevenson",NE,"RB31","94","120","105.7","6.9","-"
"109",9,"Wan'Dale Robinson",TEN,"WR42","84","138","107.2","12.1","-"
"110",9,"Tony Pollard",TEN,"RB32","98","124","107.7","6.2","-"
"111",9,"Ricky Pearsall",SF,"WR43","91","144","110.9","12.3","-"
"112",9,"Kyle Monangai",CHI,"RB33","97","127","112.2","8.1","-"
"113",9,"Parker Washington",JAC,"WR44","89","139","116.2","11.9","-"
"114",9,"Jordan Addison",MIN,"WR45","102","133","116.8","7.2","-"
"115",9,"Aaron Jones Sr.",MIN,"RB34","101","144","119.1","10.9","-"
"116",9,"Oronde Gadsden II",LAC,"TE9","112","145","119.4","6.8","-"
"117",9,"Josh Downs",IND,"WR46","85","144","120.5","14.6","-"
"118",9,"Kenneth Gainwell",TB,"RB35","98","143","122.1","14.2","-"
"119",9,"Jake Ferguson",DAL,"TE10","113","143","123.4","8.1","-"
"120",9,"Jayden Reed",GB,"WR47","96","142","124.0","10.4","-"
"121",9,"Dalton Kincaid",BUF,"TE11","109","153","124.6","11.4","-"
"122",9,"Michael Penix Jr.",ATL,"QB29","34","184","108.2","29.7","-"
"123",9,"Travis Kelce",KC,"TE12","93","159","126.1","14.4","-"
"124",9,"Geno Smith",NYJ,"QB30","32","184","118.9","36.9","-"
"125",9,"Blake Corum",LAR,"RB36","107","142","126.9","8.2","-"
"126",9,"J.K. Dobbins",DEN,"RB37","107","155","127.5","12.5","-"
"127",9,"Khalil Shakir",BUF,"WR48","110","142","127.6","9.0","-"
"128",10,"Quentin Johnston",LAC,"WR49","110","149","129.6","8.7","-"
"129",10,"Isaiah Likely",NYG,"TE13","113","190","131.1","16.5","-"
"130",10,"Rachaad White",WAS,"RB38","105","159","133.1","15.1","-"
"131",10,"Jayden Higgins",HOU,"WR50","121","149","133.6","7.8","-"
"132",10,"Jacory Croskey-Merritt",WAS,"RB39","120","150","134.9","7.3","-"
"133",10,"George Kittle",SF,"TE14","93","189","137.8","25.1","-"
"134",10,"Romeo Doubs",NE,"WR51","102","178","140.3","16.9","-"
"135",10,"Xavier Worthy",KC,"WR52","116","158","141.5","8.8","-"
"136",10,"Tyler Allgeier",ARI,"RB40","119","171","142.4","14.2","-"
"137",10,"Zach Charbonnet",SEA,"RB41","99","176","142.9","17.4","-"
"138",10,"Woody Marks",HOU,"RB42","104","175","142.9","19.0","-"
"139",10,"Dallas Goedert",PHI,"TE15","121","161","142.9","10.8","-"
"140",10,"Jalen Coker",CAR,"WR53","123","167","143.9","9.8","-"
"141",10,"Jordan Mason",MIN,"RB43","119","158","144.1","9.3","-"
"142",10,"Tyrone Tracy Jr.",NYG,"RB44","130","165","144.4","8.6","-"
"143",10,"Juwan Johnson",NO,"TE16","123","172","145.9","15.7","-"
"144",10,"KC Concepcion",CLE,"WR54","94","219","147.0","28.3","-"
"145",10,"Tyjae Spears",TEN,"RB45","116","166","147.3","11.0","-"
"146",10,"Matthew Golden",GB,"WR55","114","176","147.8","17.5","-"
"147",10,"Shedeur Sanders",CLE,"QB31","40","268","134.7","43.7","-"
"148",10,"Alvin Kamara",NO,"RB46","116","178","151.2","15.0","-"
"149",10,"Dylan Sampson",CLE,"RB47","130","168","151.8","10.8","-"
"150",10,"Brenton Strange",JAC,"TE17","113","197","152.6","18.9","-"
"151",10,"James Conner",ARI,"RB48","103","216","154.9","26.3","-"
"152",10,"Deebo Samuel Sr.",FA,"WR56","134","206","156.3","19.7","-"
"153",10,"Isiah Pacheco",DET,"RB49","134","177","158.9","8.4","-"
"154",10,"Rashid Shaheed",SEA,"WR57","147","170","159.0","7.5","-"
"155",10,"Mark Andrews",BAL,"TE18","125","183","159.3","15.8","-"
"156",10,"Chris Rodriguez Jr.",JAC,"RB50","137","212","159.9","23.4","-"
"157",10,"Jerry Jeudy",CLE,"WR58","146","189","161.7","12.0","-"
"158",11,"Stefon Diggs",FA,"WR59","101","264","149.0","31.7","-"
"159",11,"Jonathon Brooks",CAR,"RB51","120","229","163.7","27.1","-"
"160",11,"Braelon Allen",NYJ,"RB52","139","188","164.4","11.6","-"
"161",11,"Travis Hunter",JAC,"WR60","107","221","164.8","25.2","-"
"162",11,"Keaton Mitchell",LAC,"RB53","150","225","165.9","14.9","-"
"163",11,"Jauan Jennings",MIN,"WR61","110","198","153.4","22.8","-"
