"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","29","1","2","1.1","0.4","-"
"2",1,"Drake Maye",NE,"QB2","23","1","10","2.8","2.0","-"
"3",1,"Jayden Daniels",WAS,"QB3","25","2","10","5.0","2.7","-"
"4",1,"Lamar Jackson",BAL,"QB4","29","2","24","5.4","4.8","-"
"5",2,"Ja'Marr Chase",CIN,"WR1","26","3","9","6.7","2.1","-"
"6",2,"Joe Burrow",CIN,"QB5","29","3","22","8.7","5.9","-"
"7",2,"Puka Nacua",LAR,"WR2","24","5","18","9.1","2.5","-"
"8",2,"Jaxon Smith-Njigba",SEA,"WR3","24","5","18","10.1","3.7","-"
"9",2,"Patrick Mahomes II",KC,"QB6","30","5","24","10.8","5.6","-"
"10",2,"Caleb Williams",CHI,"QB7","24","5","36","11.6","8.8","-"
"11",2,"Bijan Robinson",ATL,"RB1","24","5","18","11.8","4.3","-"
"12",2,"Justin Herbert",LAC,"QB8","28","6","28","12.9","6.2","-"
"13",3,"Jahmyr Gibbs",DET,"RB2","24","7","19","13.9","4.0","-"
"14",3,"Jalen Hurts",PHI,"QB9","27","6","29","14.1","6.3","-"
"15",3,"Justin Jefferson",MIN,"WR4","26","10","22","16.8","3.5","-"
"16",3,"CeeDee Lamb",DAL,"WR5","27","9","22","17.4","3.8","-"
"17",3,"Amon-Ra St. Brown",DET,"WR6","26","11","27","18.6","4.7","-"
"18",4,"Jaxson Dart",NYG,"QB10","23","11","49","21.4","10.1","-"
"19",4,"Trevor Lawrence",JAC,"QB11","26","11","58","21.5","13.7","-"
"20",4,"Malik Nabers",NYG,"WR7","22","14","30","21.8","4.7","-"
"21",4,"Brock Purdy",SF,"QB12","26","14","46","21.9","9.9","-"
"22",4,"Ashton Jeanty",LV,"RB3","22","12","39","22.1","6.8","-"
"23",4,"Bo Nix",DEN,"QB13","26","13","51","23.9","8.4","-"
"24",4,"Drake London",ATL,"WR8","24","16","31","25.1","4.5","-"
"25",4,"De'Von Achane",MIA,"RB4","24","18","34","25.4","4.3","-"
"26",4,"Jeremiyah Love",ARI,"RB5","20","16","42","26.9","6.4","-"
"27",4,"James Cook III",BUF,"RB6","26","21","41","29.9","5.5","-"
"28",4,"Jordan Love",GB,"QB14","27","17","50","30.4","9.9","-"
"29",4,"Omarion Hampton",LAC,"RB7","23","18","51","30.8","7.4","-"
"30",4,"Nico Collins",HOU,"WR9","27","19","40","30.9","4.8","-"
"31",4,"Tetairoa McMillan",CAR,"WR10","23","20","44","31.9","5.8","-"
"32",5,"Dak Prescott",DAL,"QB15","32","13","60","33.3","13.5","-"
"33",5,"Brock Bowers",LV,"TE1","23","15","44","33.5","6.5","-"
"34",5,"Jonathan Taylor",IND,"RB8","27","26","49","34.5","6.8","-"
"35",5,"George Pickens",DAL,"WR11","25","28","45","34.6","3.7","-"
"36",5,"Trey McBride",ARI,"TE2","26","14","59","37.0","9.9","-"
"37",5,"Chris Olave",NO,"WR12","25","28","47","37.2","4.4","-"
"38",5,"Emeka Egbuka",TB,"WR13","23","27","57","38.8","8.1","-"
"39",5,"Garrett Wilson",NYJ,"WR14","25","23","47","40.0","5.3","-"
"40",5,"Rashee Rice",KC,"WR15","26","24","80","43.5","13.6","-"
"41",5,"Kenneth Walker III",KC,"RB9","25","33","63","44.2","9.7","-"
"42",5,"Baker Mayfield",TB,"QB16","31","24","77","45.3","16.8","-"
"43",5,"Carnell Tate",TEN,"WR16","21","30","76","45.6","9.8","-"
"44",5,"Ladd McConkey",LAC,"WR17","24","37","88","46.9","10.9","-"
"45",6,"DeVonta Smith",PHI,"WR18","27","40","63","50.0","7.1","-"
"47",6,"A.J. Brown",PHI,"WR20","28","33","77","52.0","12.2","-"
"48",6,"Tee Higgins",CIN,"WR21","27","39","68","52.4","7.7","-"
"49",6,"Colston Loveland",CHI,"TE3","22","31","70","52.5","8.7","-"
"50",6,"Chase Brown",CIN,"RB10","26","38","63","53.0","8.2","-"
"51",6,"Jordyn Tyson",NO,"WR22","21","30","89","53.7","13.3","-"
"52",6,"Zay Flowers",BAL,"WR23","25","41","77","55.2","10.0","-"
"53",6,"Breece Hall",NYJ,"RB11","24","36","78","55.9","10.5","-"
"54",6,"C.J. Stroud",HOU,"QB17","24","25","97","57.0","19.6","-"
"55",6,"Jaylen Waddle",DEN,"WR24","27","45","80","57.4","8.0","-"
"56",6,"Christian McCaffrey",SF,"RB12","29","33","79","58.6","12.9","-"
"57",6,"Makai Lemon",PHI,"WR25","21","37","96","58.9","16.5","-"
"58",6,"Rome Odunze",CHI,"WR26","23","45","85","58.9","11.8","-"
"59",6,"Tyler Warren",IND,"TE4","23","47","71","59.0","5.4","-"
"60",6,"Jared Goff",DET,"QB18","31","40","86","60.2","14.6","-"
"61",6,"Fernando Mendoza",LV,"QB19","22","24","129","61.3","24.0","-"
"62",6,"Saquon Barkley",PHI,"RB13","29","32","78","63.0","10.7","-"
"63",6,"Cam Ward",TEN,"QB20","23","51","87","63.6","11.9","-"
"64",7,"TreVeyon Henderson",NE,"RB14","23","45","78","64.8","10.2","-"
"65",7,"Marvin Harrison Jr.",ARI,"WR27","23","40","105","65.0","15.0","-"
"66",7,"Harold Fannin Jr.",CLE,"TE5","21","44","82","66.2","7.8","-"
"67",7,"Tucker Kraft",GB,"TE6","25","57","80","67.5","6.3","-"
"68",7,"Bucky Irving",TB,"RB15","23","59","77","67.6","4.9","-"
"69",7,"Jameson Williams",DET,"WR28","25","51","82","68.0","9.0","-"
"70",7,"Kyler Murray",MIN,"QB21","28","25","103","68.0","18.3","-"
