Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BUF,"Josh Allen",QB,17,1.01,7,0%,22%,306.9,361,379,443.3,100
2,ATL,"Bijan Robinson",RB,17,1.02,5,0%,39%,235.3,263,277,323.9,71.7
3,DET,"Jahmyr Gibbs",RB,17,1.04,8,0%,70%,229.4,257,276,323.4,70.9
4,BAL,"Lamar Jackson",QB,17,1.11,7,0%,45%,298.8,331,340,438.1,70.7
5,LAR,"Puka Nacua",WR,17,1.06,8,0%,83%,188.9,191,230,253.4,69.6
6,NE,"Drake Maye",QB,17,1.03,14,0%,65%,293.8,312,342,427,67.2
7,CIN,"Joe Burrow",QB,17,1.10,10,0%,26%,296,317,340,425.3,66.2
8,CIN,"Ja'Marr Chase",WR,17,1.05,10,0%,48%,189.4,203,215,254,65
9,IND,"Jonathan Taylor",RB,17,1.12,11,0%,83%,227.2,245,264,311.7,64.9
10,SEA,"Jaxon Smith-Njigba",WR,17,1.07,8,0%,79%,193.7,177,213,249,63.9
11,WAS,"Jayden Daniels",QB,17,1.08,12,0%,71%,286,316,333,432.4,61.4
12,SF,"Christian McCaffrey",RB,17,1.09,14,0%,52%,211.3,236,255,318.2,61.2
13,PHI,"Jalen Hurts",QB,17,3.01,9,0%,43%,290.5,316,330,432.4,60.7
14,BUF,"James Cook",RB,17,2.01,7,0%,73%,219.8,226,250,307.2,58.8
15,JAC,"Trevor Lawrence",QB,17,3.07,8,0%,35%,287.1,300,334,413.9,56.3
16,DET,"Amon-Ra St. Brown",WR,17,2.04,8,0%,35%,183,174,203,225.7,56.1
17,BAL,"Derrick Henry",RB,17,4.09,7,0%,37%,215.1,235,242,307,55.8
18,DAL,"CeeDee Lamb",WR,17,2.03,10,0%,66%,172.5,172,196,235.2,54.1
19,MIN,"Justin Jefferson",WR,17,2.05,6,0%,53%,164.7,169,189,248,53.2
20,CHI,"Caleb Williams",QB,17,2.02,5,0%,24%,287.1,295,326,417.6,52.5
21,PHI,"Saquon Barkley",RB,17,3.05,9,0%,43%,207.8,220,228,317.4,52.4
22,KC,"Rashee Rice",WR,17,4.07,10,0%,88%,164.1,143,195,218.7,50.4
23,LVR,"Ashton Jeanty",RB,17,2.08,8,0%,63%,205.9,211,231,296.1,49.8
24,SF,"Brock Purdy",QB,17,3.12,14,0%,24%,284.5,304,327,408.8,49.7
25,LAC,"Justin Herbert",QB,17,2.12,12,0%,36%,284.4,299,323,413.6,48.5
26,HOU,"Nico Collins",WR,17,3.08,6,0%,92%,166,161,186,221.9,48.4
27,NYG,"Jaxson Dart",QB,17,2.11,14,0%,33%,280.1,275,318,417,45.6
28,GB,"Josh Jacobs",RB,17,4.04,5,0%,69%,195.2,207,230,277.9,45.3
29,DAL,"Dak Prescott",QB,17,4.08,10,0%,27%,282.7,301,325,399.7,44.9
30,DAL,"George Pickens",WR,17,3.11,10,0%,47%,160.9,149,177,221.1,44.6
31,ATL,"Drake London",WR,17,2.06,5,0%,76%,164,171,178,213.9,44.2
32,KC,"Kenneth Walker III",RB,17,2.07,10,0%,43%,194,196,216,293.2,43.1
33,MIA,"De'Von Achane",RB,17,2.09,12,0%,90%,195.1,211,217,277.4,41.2
34,PHI,"A.J. Brown",WR,17,4.05,9,0%,76%,151.8,159,171,214.8,40.7
35,LAC,"Omarion Hampton",RB,17,3.03,12,0%,94%,186.4,193,212,288.1,40.3
36,DEN,"Bo Nix",QB,17,3.09,12,0%,21%,280.9,296,312,405.7,38
37,LVR,"Brock Bowers",TE,17,4.01,8,0%,75%,144,139,155,187.4,38
38,ARI,"Jeremiyah Love",RB,17,3.06,8,0%,0%,183.9,184,204,288.2,37.8
39,KC,"Patrick Mahomes",QB,17,3.02,10,0%,23%,271.1,298,308,419,37.5
40,CIN,"Tee Higgins",WR,17,4.10,10,0%,88%,149.3,149,166,205.7,37.5
41,MIN,"Kyler Murray",QB,15,7.12,6,0%,23%,271.7,290,309,416.7,37.3
42,NYG,"Malik Nabers",WR,16,3.04,14,0%,66%,131.7,160,159,222.1,36
43,ARI,"Trey McBride",TE,17,2.10,8,0%,53%,139.8,145,150,175.9,35.4
44,CHI,"Colston Loveland",TE,17,5.10,5,0%,33%,125.6,124,153,176.2,35
45,NO,"Chris Olave",WR,17,4.02,11,0%,76%,141.1,142,162,193,33.5
46,LAR,"Davante Adams",WR,17,5.08,8,0%,82%,141.8,149,159,197.5,33.4
47,BAL,"Zay Flowers",WR,17,5.11,7,0%,85%,144.9,141,163,187.3,33.2
48,DAL,"Javonte Williams",RB,17,5.06,10,0%,73%,176.8,168,206,254.9,32.1
49,CIN,"Chase Brown",RB,17,3.10,10,0%,81%,177.4,193,202,262.1,32.1
50,PHI,"DeVonta Smith",WR,17,6.02,9,0%,94%,142.9,138,155,194.2,31.8
51,LAR,"Matthew Stafford",QB,17,8.04,8,0%,37%,280.6,281,302,407.3,31.6
52,GB,"Christian Watson",WR,17,7.09,5,0%,52%,134.8,105,157,196,31.6
53,LAR,"Kyren Williams",RB,17,5.02,8,0%,85%,184.4,193,200,256.6,31.5
