Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BUF,"Josh Allen",QB,17,1.01,7,0%,22%,306.9,361,379,443.3,100
2,LAR,"Puka Nacua",WR,17,1.06,8,0%,83%,296.2,304,361,397.4,97.2
3,CIN,"Ja'Marr Chase",WR,17,1.05,10,0%,48%,298.6,319,339,400.4,91.6
4,DET,"Jahmyr Gibbs",RB,17,1.04,8,0%,70%,290.1,321,350,408.9,90
5,ATL,"Bijan Robinson",RB,17,1.02,5,0%,39%,294.6,329,347,405.5,89
6,SF,"Christian McCaffrey",RB,17,1.09,14,0%,52%,275,307,331,414.1,84.1
7,SEA,"Jaxon Smith-Njigba",WR,17,1.07,8,0%,79%,291.1,274,320,374.3,81.5
8,DET,"Amon-Ra St. Brown",WR,17,2.04,8,0%,35%,288.6,284,321,355.9,78.9
9,BAL,"Lamar Jackson",QB,17,1.11,7,0%,45%,298.8,331,340,438.1,73.4
10,DAL,"CeeDee Lamb",WR,17,2.03,10,0%,66%,265.2,272,301,361.6,71.9
11,KC,"Rashee Rice",WR,17,4.07,10,0%,88%,259.7,235,309,346.3,71.5
12,MIN,"Justin Jefferson",WR,17,2.05,6,0%,53%,253.1,268,291,381.1,70.6
13,NE,"Drake Maye",QB,17,1.03,14,0%,65%,293.8,312,342,427,70.3
14,CIN,"Joe Burrow",QB,17,1.10,10,0%,26%,296,317,340,425.3,69.4
15,IND,"Jonathan Taylor",RB,17,1.12,11,0%,83%,265.2,283,308,363.9,69.4
16,LVR,"Ashton Jeanty",RB,17,2.08,8,0%,63%,260.7,263,293,375,66.1
17,WAS,"Jayden Daniels",QB,17,1.08,12,0%,71%,286,316,333,432.4,65
18,PHI,"Jalen Hurts",QB,17,3.01,9,0%,43%,290.5,316,330,432.4,64.3
19,JAC,"Trevor Lawrence",QB,17,3.07,8,0%,35%,287.1,300,334,413.9,60.4
20,ATL,"Drake London",WR,17,2.06,5,0%,76%,254.7,266,277,332.2,59.7
21,BUF,"James Cook",RB,17,2.01,7,0%,73%,251.2,258,285,351.1,59.6
22,HOU,"Nico Collins",WR,17,3.08,6,0%,92%,247.7,245,278,331.2,59.3
23,MIA,"De'Von Achane",RB,17,2.09,12,0%,90%,248.6,273,276,353.6,57.1
24,CHI,"Caleb Williams",QB,17,2.02,5,0%,24%,287.1,295,326,417.6,56.9
25,PHI,"Saquon Barkley",RB,17,3.05,9,0%,43%,243.3,257,267,371.7,56.7
26,SF,"Brock Purdy",QB,17,3.12,14,0%,24%,284.5,304,327,408.8,54.4
27,LAC,"Justin Herbert",QB,17,2.12,12,0%,36%,284.4,299,323,413.6,53.3
28,PHI,"A.J. Brown",WR,17,4.05,9,0%,76%,233.5,242,262,330.5,53.3
29,DAL,"George Pickens",WR,17,3.11,10,0%,47%,238.2,225,262,327.2,53.1
30,KC,"Kenneth Walker III",RB,17,2.07,10,0%,43%,236.2,237,262,356.9,52.4
31,NYG,"Jaxson Dart",QB,17,2.11,14,0%,33%,280.1,275,318,417,50.7
32,ARI,"Trey McBride",TE,17,2.10,8,0%,53%,237.1,248,255,298.3,50.3
33,LVR,"Brock Bowers",TE,17,4.01,8,0%,75%,234.9,233,253,305.6,50.3
34,DAL,"Dak Prescott",QB,17,4.08,10,0%,27%,282.7,301,325,399.7,50
35,ARI,"Jeremiyah Love",RB,17,3.06,8,0%,0%,229.5,238,255,359.5,50
36,GB,"Josh Jacobs",RB,17,4.04,5,0%,69%,229.9,243,270,327.2,49.8
37,LAC,"Omarion Hampton",RB,17,3.03,12,0%,94%,226.8,240,258,350.5,49.3
