Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BUF,"Josh Allen",QB,17,1.01,7,0%,22%,306.9,361,379,443.3,100
2,LAR,"Puka Nacua",WR,17,1.06,8,0%,83%,296.2,304,361,397.4,97.1
3,CIN,"Ja'Marr Chase",WR,17,1.05,10,0%,48%,298.6,319,339,400.4,91.4
4,DET,"Jahmyr Gibbs",RB,17,1.04,8,0%,70%,290.1,321,350,408.9,89.8
5,ATL,"Bijan Robinson",RB,17,1.02,5,0%,39%,294.6,329,347,405.5,88.8
6,SF,"Christian McCaffrey",RB,17,1.09,14,0%,52%,275,307,331,414.1,83.8
7,SEA,"Jaxon Smith-Njigba",WR,17,1.07,8,0%,79%,291.1,274,320,374.3,81.3
8,DET,"Amon-Ra St. Brown",WR,17,2.04,8,0%,35%,288.6,284,321,355.9,78.6
9,BAL,"Lamar Jackson",QB,17,1.11,7,0%,45%,298.8,331,340,438.1,73
10,DAL,"CeeDee Lamb",WR,17,2.03,10,0%,66%,265.2,272,301,361.6,71.5
11,KC,"Rashee Rice",WR,17,4.07,10,0%,88%,259.7,235,309,346.3,71
12,MIN,"Justin Jefferson",WR,17,2.05,6,0%,53%,253.1,268,291,381.1,70.1
13,NE,"Drake Maye",QB,17,1.03,14,0%,65%,293.8,312,342,427,69.8
14,CIN,"Joe Burrow",QB,17,1.10,10,0%,26%,296,317,340,425.3,68.9
15,IND,"Jonathan Taylor",RB,17,1.12,11,0%,83%,265.2,283,308,363.9,68.9
16,ARI,"Trey McBride",TE,17,2.10,8,0%,53%,285.8,299,307,359.5,65.7
17,LVR,"Ashton Jeanty",RB,17,2.08,8,0%,63%,260.7,263,293,375,65.6
18,LVR,"Brock Bowers",TE,17,4.01,8,0%,75%,280.3,280,301,364.7,64.6
19,WAS,"Jayden Daniels",QB,17,1.08,12,0%,71%,286,316,333,432.4,64.5
20,PHI,"Jalen Hurts",QB,17,3.01,9,0%,43%,290.5,316,330,432.4,63.8
21,JAC,"Trevor Lawrence",QB,17,3.07,8,0%,35%,287.1,300,334,413.9,59.8
22,ATL,"Drake London",WR,17,2.06,5,0%,76%,254.7,266,277,332.2,59.1
23,BUF,"James Cook",RB,17,2.01,7,0%,73%,251.2,258,285,351.1,59
24,HOU,"Nico Collins",WR,17,3.08,6,0%,92%,247.7,245,278,331.2,58.7
25,MIA,"De'Von Achane",RB,17,2.09,12,0%,90%,248.6,273,276,353.6,56.5
26,CHI,"Caleb Williams",QB,17,2.02,5,0%,24%,287.1,295,326,417.6,56.3
27,PHI,"Saquon Barkley",RB,17,3.05,9,0%,43%,243.3,257,267,371.7,56
28,SF,"Brock Purdy",QB,17,3.12,14,0%,24%,284.5,304,327,408.8,53.7
29,CHI,"Colston Loveland",TE,17,5.10,5,0%,33%,232.2,236,283,325.6,53.5
30,LAC,"Justin Herbert",QB,17,2.12,12,0%,36%,284.4,299,323,413.6,52.6
31,PHI,"A.J. Brown",WR,17,4.05,9,0%,76%,233.5,242,262,330.5,52.6
32,DAL,"George Pickens",WR,17,3.11,10,0%,47%,238.2,225,262,327.2,52.4
33,KC,"Kenneth Walker III",RB,17,2.07,10,0%,43%,236.2,237,262,356.9,51.7
34,NYG,"Jaxson Dart",QB,17,2.11,14,0%,33%,280.1,275,318,417,49.9
35,IND,"Tyler Warren",TE,17,6.07,11,0%,60%,230,232,271,313.9,49.6
36,DAL,"Dak Prescott",QB,17,4.08,10,0%,27%,282.7,301,325,399.7,49.3
37,ARI,"Jeremiyah Love",RB,17,3.06,8,0%,0%,229.5,238,255,359.5,49.3
38,GB,"Josh Jacobs",RB,17,4.04,5,0%,69%,229.9,243,270,327.2,49.1
39,LAC,"Omarion Hampton",RB,17,3.03,12,0%,94%,226.8,240,258,350.5,48.5
40,NYG,"Malik Nabers",WR,16,3.04,14,0%,66%,205.1,255,247,346,47.6
41,CIN,"Chase Brown",RB,17,3.10,10,0%,81%,228.3,250,259,337.2,47.2
42,BAL,"Derrick Henry",RB,17,4.09,7,0%,37%,231.8,251,260,330.8,46.9
43,BAL,"Zay Flowers",WR,17,5.11,7,0%,85%,226.6,221,255,292.9,44.2
44,NO,"Chris Olave",WR,17,4.02,11,0%,76%,219.5,224,252,300.2,43.9
45,DEN,"Bo Nix",QB,17,3.09,12,0%,21%,280.9,296,312,405.7,42.9
46,KC,"Patrick Mahomes",QB,17,3.02,10,0%,23%,271.1,298,308,419,42.5
47,MIN,"Kyler Murray",QB,15,7.12,6,0%,23%,271.7,290,309,416.7,42.3
48,CIN,"Tee Higgins",WR,17,4.10,10,0%,88%,219.7,225,244,302.7,41.9
49,PHI,"DeVonta Smith",WR,17,6.02,9,0%,94%,222.7,218,242,302.6,41.6
50,NYJ,"Garrett Wilson",WR,17,5.03,9,0%,36%,221.2,230,243,299,41.3
51,CLE,"Harold Fannin Jr.",TE,17,7.07,9,0%,68%,212.9,201,237,295.7,39.6
52,NYJ,"Breece Hall",RB,17,4.12,9,0%,85%,215.9,225,245,319,39.3
53,DET,"Sam LaPorta",TE,17,9.05,8,0%,84%,211.8,221,235,294.1,39.1
54,LAR,"Matthew Stafford",QB,17,8.04,8,0%,37%,280.6,281,302,407.3,37.1
55,LAR,"Davante Adams",WR,17,5.08,8,0%,82%,209.9,220,236,292.4,37
56,GB,"Tucker Kraft",TE,16,8.05,5,0%,49%,197.4,207,235,284.4,37
57,DET,"Jared Goff",QB,17,6.05,8,0%,30%,279,285,303,400.4,35.6
58,DAL,"Javonte Williams",RB,17,5.06,10,0%,73%,208.9,202,243,301.2,35.3
59,NO,"Travis Etienne",RB,17,5.05,11,0%,69%,213.3,202,232,320,35.3
60,DEN,"Jaylen Waddle",WR,17,5.07,12,0%,93%,199.2,198,229,293.1,34.2
61,SF,"George Kittle",TE,15,11.01,14,0%,53%,131.6,216,219,326.8,33.7
