Rank,Avg,Pos,Name,Team,Age,PatrickM,Richard C,Rob W,Ryan M,Value,Follow
1,1.25,WR1,Ja'Marr Chase,CIN,26,1,1,1,2,,
2,1.75,WR2,Jaxon Smith-Njigba,SEA,24,2,2,2,1,,
3,3.75,WR3,Puka Nacua,LAR,24,3,4,3,5,,
4,4.50,WR4,Justin Jefferson,MIN,26,4,3,4,7,,
5,6.00,WR5,CeeDee Lamb,DAL,27,5,6,5,8,,
6,6.00,RB1,Bijan Robinson,ATL,24,6,7,8,3,,
7,6.50,RB2,Jahmyr Gibbs,DET,24,7,8,7,4,,
8,7.00,WR6,Amon-Ra St. Brown,DET,26,8,5,6,9,,
9,8.75,WR7,Malik Nabers,NYG,22,9,10,10,6,,
10,11.25,WR8,Drake London,ATL,24,10,11,14,10,,
11,12.75,TE1,Trey McBride,ARI,26,12,14,13,12,,
12,13.25,TE2,Brock Bowers,LV,23,11,15,16,11,,
13,13.25,RB3,Jeremiyah Love,ARI,20,14,16,9,14,,
14,13.50,RB4,De'Von Achane,MIA,24,15,12,11,16,,
15,13.75,RB5,Ashton Jeanty,LV,22,13,17,12,13,,
16,16.50,WR9,Tetairoa McMillan,CAR,23,17,19,15,15,,
17,17.50,WR10,Nico Collins,HOU,27,18,9,22,21,,
18,18.00,WR11,Rashee Rice,KC,26,16,13,23,20,,
19,20.25,RB6,Jonathan Taylor,IND,27,20,20,18,23,,
20,22.00,WR12,George Pickens,DAL,25,25,22,19,22,,
21,22.75,RB7,Omarion Hampton,LAC,23,19,27,21,24,,
22,23.00,WR13,Garrett Wilson,NYJ,25,21,18,26,27,,
23,23.75,WR14,Emeka Egbuka,TB,23,22,31,24,18,,
24,26.50,RB8,James Cook,BUF,26,24,26,17,39,,
25,28.00,WR15,Chris Olave,NO,25,31,21,27,33,,
26,28.75,WR16,DeVonta Smith,PHI,27,35,24,20,36,,
27,29.50,QB1,Josh Allen,BUF,29,27,29,31,31,,
28,29.50,WR17,Ladd McConkey,LAC,24,23,38,28,29,,
29,30.25,WR18,Carnell Tate,TEN,21,38,32,32,19,,
30,30.50,WR19,Tee Higgins,CIN,27,32,23,33,34,,
31,31.25,WR20,Jordyn Tyson,NO,21,39,25,35,26,,
32,34.00,WR21,Brian Thomas,JAC,23,36,39,29,32,,
33,34.25,WR22,Rome Odunze,CHI,23,33,35,41,28,,
34,35.25,RB9,Breece Hall,NYJ,24,26,49,25,41,,
35,35.75,QB2,Drake Maye,NE,23,28,36,34,45,,
36,36.50,QB3,Lamar Jackson,BAL,29,30,30,42,44,,
37,37.50,TE3,Colston Loveland,CHI,22,41,52,40,17,,
38,38.50,WR23,Luther Burden,CHI,22,37,40,52,25,,
39,39.75,WR24,Jaylen Waddle,DEN,27,40,28,56,35,,
40,41.25,RB10,TreVeyon Henderson,NE,23,46,37,39,43,,
41,41.75,RB11,Kenneth Walker,KC,25,47,45,37,38,,
42,42.50,WR25,Marvin Harrison Jr,ARI,23,34,33,66,37,,
43,43.50,QB4,Jayden Daniels,WAS,25,29,51,45,49,,
44,45.75,RB12,Chase Brown,CIN,26,45,54,44,40,,
45,45.75,WR26,Makai Lemon,PHI,21,54,43,38,48,,
46,47.25,RB13,Bucky Irving,TB,23,48,53,46,42,,
47,48.25,TE4,Tyler Warren,IND,23,43,61,43,46,,
48,49.00,TE5,Tucker Kraft,GB,25,42,59,48,47,,
49,49.50,RB14,Christian McCaffrey,SF,29,51,47,50,50,,
50,51.00,RB15,Saquon Barkley,PHI,29,52,44,49,59,,
51,51.75,RB16,Kyren Williams,LAR,25,50,55,36,66,,
52,52.25,RB17,Quinshon Judkins,CLE,22,44,74,30,61,,
53,53.50,QB5,Joe Burrow,CIN,29,62,41,60,51,,
54,53.75,RB18,Jadarian Price,SEA,22,58,50,53,54,,
55,54.00,WR27,Zay Flowers,BAL,25,55,34,64,63,,
56,54.25,WR28,Jameson Williams,DET,25,57,76,54,30,,
57,55.50,RB19,Travis Etienne,NO,27,53,57,47,65,,
58,56.25,WR29,KC Concepcion,CLE,21,67,42,63,53,,
59,56.75,WR30,AJ Brown,PHI,28,56,48,59,64,,
60,57.50,RB20,Javonte Williams,DAL,26,49,56,67,58,,
61,58.25,QB6,Jalen Hurts,PHI,27,61,58,57,57,,
62,59.50,QB7,Caleb Williams,CHI,23,64,71,51,52,,
63,60.00,TE6,Harold Fannin,CLE,22,60,60,65,55,,
64,62.75,RB21,Josh Jacobs,GB,28,59,81,55,56,,
65,63.75,QB8,Justin Herbert,LAC,28,63,46,75,71,,
66,69.75,WR31,Omar Cooper Jr,NYJ,22,89,62,68,60,,
67,72.25,WR32,Jordan Addison,MIN,24,69,80,70,70,,
68,72.50,RB22,Bhayshul Tuten,JAC,23,77,69,58,86,,
69,72.75,QB9,Patrick Mahomes,KC,30,65,63,85,78,,
70,75.25,TE7,Sam LaPorta,DET,25,66,105,62,68,,
71,76.75,WR33,Terry McLaurin,WAS,30,70,83,78,76,,
72,77.25,WR34,DK Metcalf,PIT,28,71,84,87,67,,
73,77.75,RB23,Cam Skattebo,NYG,24,73,82,83,73,,
74,78.50,TE8,Kenyon Sadiq,NYJ,21,85,78,71,80,,
75,80.00,RB24,Derrick Henry,BAL,32,75,112,61,72,,
76,80.00,WR35,DJ Moore,BUF,29,72,110,69,69,,
77,80.00,TE9,Kyle Pitts,ATL,25,84,65,92,79,,
78,80.00,RB25,RJ Harvey,DEN,25,74,89,72,85,,
79,80.75,QB10,Trevor Lawrence,JAC,26,98,72,79,74,,
80,82.00,QB11,Jaxson Dart,NYG,22,81,103,82,62,,
81,86.25,WR36,Alec Pierce,IND,26,96,68,97,84,,
82,86.50,WR37,Denzel Boston,CLE,22,90,79,74,103,,
83,87.25,WR38,Davante Adams,LAR,33,91,66,115,77,,
84,87.50,WR39,Ricky Pearsall,SF,25,68,92,95,95,,
85,87.75,RB26,D'Andre Swift,CHI,27,80,116,73,82,,
86,87.75,WR40,Jayden Reed,GB,26,79,86,90,96,,
87,90.00,WR41,Jakobi Meyers,JAC,29,95,75,102,88,,
88,90.00,WR42,Michael Wilson,ARI,26,111,67,89,93,,
89,91.25,WR43,Xavier Worthy,KC,23,78,100,76,111,,
90,92.75,WR44,Jayden Higgins,HOU,23,87,98,81,105,,
91,93.25,QB12,Jordan Love,GB,27,103,64,98,108,,
92,94.75,RB27,Jaylen Warren,PIT,27,82,91,105,101,,
93,95.00,WR45,Christian Watson,GB,26,93,77,108,102,,
94,96.25,WR46,Matthew Golden,GB,22,88,137,77,83,,
95,97.00,WR47,Chris Godwin,TB,30,92,115,84,97,,
96,97.00,WR48,Courtland Sutton,DEN,30,94,94,100,100,,
97,98.75,QB13,Brock Purdy,SF,26,101,88,91,115,,
98,101.50,QB14,Bo Nix,DEN,26,99,119,94,94,,
99,102.75,RB28,David Montgomery,HOU,28,76,143,88,104,,
100,103.50,QB15,Dak Prescott,DAL,32,102,87,104,121,,
101,104.25,TE10,Oronde Gadsden,LAC,22,109,127,106,75,,
102,105.25,WR49,Wan'Dale Robinson,TEN,25,127,85,119,90,,
103,106.25,WR50,Josh Downs,IND,24,118,70,114,123,,
104,109.50,WR51,Brandon Aiyuk,SF,28,116,90,134,98,,
105,109.75,WR52,Romeo Doubs,NE,26,119,93,99,128,,
106,110.00,WR53,Parker Washington,JAC,24,110,125,118,87,,
107,111.00,TE11,George Kittle,SF,32,137,104,96,107,,
108,111.00,WR54,Michael Pittman,PIT,28,112,133,110,89,,
109,113.25,WR55,Travis Hunter,JAC,22,128,136,80,109,,
110,113.75,RB29,Kyle Monangai,CHI,24,114,99,113,129,,
111,114.25,TE12,Jake Ferguson,DAL,27,86,120,141,110,,
112,116.00,RB30,Rico Dowdle,PIT,27,125,111,137,91,,
113,116.75,RB31,Zach Charbonnet,SEA,25,97,121,150,99,,
114,117.25,QB16,Baker Mayfield,TB,31,100,126,121,122,,
115,117.50,WR56,Quentin Johnston,LAC,24,129,114,111,116,,
116,118.25,TE13,Dalton Kincaid,BUF,26,120,128,112,113,,
117,118.75,WR57,Khalil Shakir,BUF,26,117,113,133,112,,
118,119.25,RB32,Tony Pollard,TEN,29,83,173,101,120,,
