Rank,Avg,Pos,Name,Team,Age,EricD,Matt P,Michael M,Ryan M,Value,Follow
1,1.00,QB1,Josh Allen,BUF,29,1,1,1,1,,
2,2.00,QB2,Lamar Jackson,BAL,29,2,2,2,2,,
3,4.50,WR1,Ja'Marr Chase,CIN,26,3,7,3,5,,
4,5.00,WR2,Jaxon Smith-Njigba,SEA,24,4,6,6,4,,
5,6.00,QB3,Drake Maye,NE,23,7,4,10,3,,
6,7.25,WR3,Puka Nacua,LAR,24,8,8,5,8,,
7,8.75,QB4,Jayden Daniels,WAS,25,5,3,12,15,,
8,9.50,WR4,Amon-Ra St. Brown,DET,26,6,9,13,10,,
9,9.75,RB1,Jahmyr Gibbs,DET,24,10,11,11,7,,
10,10.00,QB5,Jalen Hurts,PHI,27,17,5,7,11,,
11,10.50,RB2,Bijan Robinson,ATL,24,9,10,17,6,,
12,11.75,WR5,CeeDee Lamb,DAL,27,11,15,8,13,,
13,12.50,QB6,Joe Burrow,CIN,29,12,20,4,14,,
14,12.50,WR6,Malik Nabers,NYG,22,14,13,14,9,,
15,13.75,WR7,Justin Jefferson,MIN,26,13,14,16,12,,
16,18.25,TE1,Trey McBride,ARI,26,15,12,26,20,,
17,18.50,QB7,Justin Herbert,LAC,28,19,19,15,21,,
18,19.00,TE2,Brock Bowers,LV,23,16,21,20,19,,
19,20.25,RB3,Ashton Jeanty,LV,22,18,22,18,23,,
20,21.25,QB8,Caleb Williams,CHI,23,21,24,22,18,,
21,23.00,QB9,Patrick Mahomes,KC,30,24,33,9,26,,
22,23.00,RB4,Jeremiyah Love,ARI,20,23,26,19,24,,
23,23.50,QB10,Trevor Lawrence,JAC,26,27,23,28,16,,
24,24.00,WR8,Drake London,ATL,24,26,16,32,22,,
25,25.50,WR9,Nico Collins,HOU,27,30,17,24,31,,
26,25.50,QB11,Jaxson Dart,NYG,22,34,18,33,17,,
27,26.50,RB5,De'Von Achane,MIA,24,20,25,31,30,,
28,26.50,WR10,Emeka Egbuka,TB,23,22,28,23,33,,
29,28.50,WR11,Tetairoa McMillan,CAR,23,28,31,30,25,,
30,29.00,QB12,Bo Nix,DEN,26,25,29,34,28,,
31,31.25,RB6,Jonathan Taylor,IND,27,29,30,25,41,,
32,32.50,QB13,Jordan Love,GB,27,31,27,29,43,,
33,33.75,WR12,George Pickens,DAL,25,32,34,42,27,,
34,36.00,WR13,Garrett Wilson,NYJ,25,33,36,40,35,,
35,37.25,RB7,Breece Hall,NYJ,24,35,32,27,55,,
36,39.50,RB8,Omarion Hampton,LAC,23,36,47,41,34,,
37,41.25,WR14,Carnell Tate,TEN,21,42,35,51,37,,
38,41.50,QB14,Brock Purdy,SF,26,38,42,36,50,,
39,42.00,QB15,Dak Prescott,DAL,32,37,43,21,67,,
40,42.50,WR15,Brian Thomas,JAC,23,39,39,48,44,,
41,44.00,WR16,Ladd McConkey,LAC,24,40,38,53,45,,
42,44.50,WR17,Rome Odunze,CHI,23,41,56,43,38,,
43,47.00,TE3,Sam LaPorta,DET,25,43,37,46,62,,
44,48.25,RB9,Christian McCaffrey,SF,29,48,58,39,48,,
45,48.75,WR18,AJ Brown,PHI,28,44,49,37,65,,
46,49.75,TE4,Colston Loveland,CHI,22,45,61,61,32,,
47,50.25,WR19,Marvin Harrison Jr,ARI,23,59,50,35,57,,
48,50.75,RB10,Kenneth Walker,KC,25,50,48,65,40,,
49,51.25,RB11,Bucky Irving,TB,23,51,60,52,42,,
50,51.75,WR20,Jordyn Tyson,NO,21,53,40,44,70,,
51,52.75,RB12,James Cook,BUF,26,52,53,59,47,,
52,53.75,WR21,Tee Higgins,CIN,27,58,51,60,46,,
53,53.75,WR22,Rashee Rice,KC,26,54,65,67,29,,
54,54.25,WR23,Luther Burden,CHI,22,47,67,64,39,,
55,54.50,WR24,DeVonta Smith,PHI,27,49,44,54,71,,
56,54.75,WR25,Jaylen Waddle,DEN,27,46,52,49,72,,
57,57.50,QB16,Fernando Mendoza,LV,22,75,74,45,36,,
58,58.00,QB17,CJ Stroud,HOU,24,60,46,47,79,,
59,59.00,QB18,Baker Mayfield,TB,31,56,57,55,68,,
60,59.00,RB13,Saquon Barkley,PHI,29,62,75,38,61,,
61,59.25,WR26,Chris Olave,NO,25,69,41,63,64,,
62,60.00,TE5,Tyler Warren,IND,23,57,62,70,51,,
63,61.00,QB19,Kyler Murray,MIN,28,61,45,72,66,,
64,62.25,RB14,Jadarian Price,SEA,22,66,59,66,58,,
65,62.75,RB15,Chase Brown,CIN,26,63,55,77,56,,
66,63.25,RB16,Kyren Williams,LAR,25,64,72,57,60,,
67,64.00,TE6,Tucker Kraft,GB,25,55,63,86,52,,
68,64.75,QB20,Jared Goff,DET,31,65,73,58,63,,
69,68.75,TE7,Harold Fannin,CLE,22,68,64,90,53,,
70,71.00,WR27,DK Metcalf,PIT,28,74,69,56,85,,
71,71.00,WR28,Zay Flowers,BAL,25,70,68,69,77,,
72,72.00,RB17,Quinshon Judkins,CLE,22,67,71,74,76,,
73,73.75,WR29,Jordan Addison,MIN,24,72,77,62,84,,
74,74.00,RB18,TreVeyon Henderson,NE,23,73,66,103,54,,
75,76.50,WR30,Makai Lemon,PHI,21,76,86,71,73,,
76,77.50,RB19,Cam Skattebo,NYG,24,71,54,105,80,,
77,77.75,RB20,Josh Jacobs,GB,28,77,81,94,59,,
78,79.75,QB21,Cam Ward,TEN,23,86,79,50,104,,
79,80.50,WR31,Davante Adams,LAR,33,80,78,75,89,,
80,82.00,WR32,DJ Moore,BUF,29,81,82,82,83,,
81,82.50,WR33,KC Concepcion,CLE,21,79,84,89,78,,
82,82.75,TE8,Kenyon Sadiq,NYJ,21,78,88,73,92,,
83,84.00,RB21,Travis Etienne,NO,27,82,80,92,82,,
84,85.00,WR34,Chris Godwin,TB,30,84,89,79,88,,
85,86.75,WR35,Jameson Williams,DET,25,85,85,128,49,,
86,89.50,TE9,Kyle Pitts,ATL,25,83,99,85,91,,
87,89.75,TE10,Oronde Gadsden,LAC,22,94,90,101,74,,
88,90.00,WR36,Terry McLaurin,WAS,30,87,106,80,87,,
89,90.25,WR37,Omar Cooper Jr,NYJ,22,88,87,100,86,,
90,92.00,TE11,George Kittle,SF,32,90,83,96,99,,
91,92.25,WR38,Jayden Reed,GB,26,91,91,87,100,,
92,95.75,RB22,Javonte Williams,DAL,26,89,70,115,109,,
93,96.50,WR39,Travis Hunter,JAC,22,92,94,83,117,,
94,96.75,TE12,Dalton Kincaid,BUF,26,106,95,81,105,,
95,98.50,RB23,Derrick Henry,BAL,32,93,103,123,75,,
96,98.75,QB22,Sam Darnold,SEA,28,96,76,112,111,,
97,99.00,TE13,Mark Andrews,BAL,30,95,97,84,120,,
98,99.50,WR40,Alec Pierce,IND,26,107,105,91,95,,
99,101.25,WR41,Xavier Worthy,KC,23,100,98,78,129,,
100,102.50,WR42,Josh Downs,IND,24,98,100,88,124,,
101,104.25,WR43,Matthew Golden,GB,22,101,113,113,90,,
102,104.50,RB24,RJ Harvey,DEN,25,105,104,107,102,,
103,104.75,QB23,Bryce Young,CAR,24,97,116,99,107,,
104,106.75,WR44,Brandon Aiyuk,SF,28,116,108,106,97,,
