Rank,Player,Position,Team
1,Puka Nacua,WR,LAR
2,Ja'Marr Chase,WR,CIN
3,Justin Jefferson,WR,MIN
4,CeeDee Lamb,WR,DAL
5,Ashton Jeanty,RB,LV
6,Marvin Harrison Jr.,WR,ARI
7,Brian Thomas Jr.,WR,JAC
8,Bijan Robinson,RB,ATL
9,Brock Bowers,TE,LV
10,Rome Odunze,WR,CHI
11,Malik Nabers,WR,NYG
12,Breece Hall,RB,NYJ
13,Xavier Worthy,WR,KC
14,Tetairoa McMillan,WR,CAR
15,Jonathon Brooks,RB,CAR
16,Amon-Ra St. Brown,WR,DET
17,Lamar Jackson,QB,BAL
18,Garrett Wilson,WR,NYJ
19,Rashee Rice,WR,KC
20,Jahmyr Gibbs,RB,DET
21,Jalen Hurts,QB,PHI
22,Drake London,WR,ATL
23,De'Von Achane,RB,MIA
24,Sam LaPorta,TE,DET
25,Jayden Daniels,QB,WAS
26,Joe Burrow,QB,CIN
27,Kyren Williams,RB,LAR
28,Tank Dell,WR,HOU
29,Jaxon Smith-Njigba,WR,SEA
30,Zay Flowers,WR,BAL
31,Brandon Aiyuk,WR,SF
32,Chris Olave,WR,NO
33,Drake Maye,QB,NE
34,Trey McBride,TE,ARI
35,Jaylen Waddle,WR,MIA
36,Keon Coleman,WR,BUF
37,Tee Higgins,WR,CIN
38,DK Metcalf,WR,SEA
39,Michael Pittman Jr.,WR,IND
40,Caleb Williams,QB,CHI
41,Isiah Pacheco,RB,KC
42,Zamir White,RB,LV
43,Josh Downs,WR,IND
44,Courtland Sutton,WR,DEN
45,Jerry Jeudy,WR,CLE
46,Luke Musgrave,TE,GB
47,Quentin Johnston,WR,LAC
48,Isaiah Likely,TE,BAL
49,Tucker Kraft,TE,GB
50,Michael Penix Jr.,QB,ATL
51,David Montgomery,RB,DET
52,Tony Pollard,RB,TEN
53,Javonte Williams,RB,DEN
54,Rhamondre Stevenson,RB,NE
55,Bo Nix,QB,DEN
56,Khalil Shakir,WR,BUF
57,Darnell Mooney,WR,ATL
58,Jordan Addison,WR,MIN
59,Wan'Dale Robinson,WR,NYG
60,Elijah Moore,WR,CLE
61,Gus Edwards,RB,LAC
62,Rachaad White,RB,TB
63,Zach Charbonnet,RB,SEA
64,Blake Corum,RB,LAR
65,Keaton Mitchell,RB,BAL
66,MarShawn Lloyd,RB,GB
67,Pat Freiermuth,TE,PIT
68,Evan Engram,TE,JAC
69,Dallas Goedert,TE,PHI
70,Travis Hunter,WR,JAC
71,Tyjae Spears,RB,TEN
72,Josh Palmer,WR,LAC
73,Patrick Mahomes,QB,KC
74,Josh Allen,QB,BUF
75,Kyler Murray,QB,ARI
76,Cam Ward,QB,TEN
77,Jauan Jennings,WR,SF
78,Dak Prescott,QB,DAL
79,Brock Purdy,QB,SF
80,Will Levis,QB,TEN
81,Luther Burden III,WR,CHI
82,Emeka Egbuka,WR,TB
83,Quinshon Judkins,RB,CLE
84,TreVeyon Henderson,RB,NE
85,Matthew Golden,WR,HOU
86,Kimani Vidal,RB,LAC
87,Deebo Samuel,WR,SF
88,Curtis Samuel,WR,WAS
