Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,DAL,"Brandon Aubrey",K,17,30.09,10,0%,6%,157.4,173,177,190.9,14.3
2,LAC,"Cameron Dicker",K,17,20.05,12,0%,6%,150.9,160,170,181.4,10.4
3,HOU,"Ka'imi Fairbairn",K,17,25.09,6,0%,0%,148.6,167,160,177.4,6.9
4,JAC,"Cam Little",K,17,32.11,8,0%,0%,146.9,146,153,180.5,5.2
5,BAL,"Tyler Loop",K,17,74.01,7,0%,0%,143.6,149,153,178.8,4.6
6,DET,"Jake Bates",K,17,32.03,8,0%,6%,146.6,151,150,175,3.1
7,CHI,"Cairo Santos",K,17,73.03,5,0%,0%,142.2,146,151,174,2.9
8,SF,"Eddy Pineiro",K,17,28.06,14,0%,0%,143.7,147,151,172.5,2.8
9,LAR,"Harrison Mevis",K,17,33.03,8,0%,0%,145.1,153,150,175,2.8
10,GB,"Trey Smack",K,17,,5,0%,0%,143.6,,150,175,2.5
11,DEN,"Wil Lutz",K,17,29.06,12,0%,0%,144.9,146,148,171.6,0.7
12,KC,"Harrison Butker",K,17,26.09,10,0%,0%,144.9,145,148,170.1,0.2
13,NO,"Charlie Smyth",K,17,,11,0%,0%,143.5,,148,170.1,0
14,PIT,"Chris Boswell",K,17,27.07,5,0%,0%,142.9,140,146,170.6,-1.3
15,NE,"Andres Borregales",K,17,74.05,14,0%,0%,141.8,148,146,168.1,-2
16,SEA,"Jason Myers",K,17,28.07,8,0%,0%,142.3,163,145,167,-2.9
17,TB,"Chase McLaughlin",K,17,26.06,9,0%,0%,140.2,143,145,167.6,-3.6
18,MIN,"Will Reichard",K,17,33.12,6,0%,0%,139.9,141,143,168.5,-4.3
19,PHI,"Jake Elliott",K,17,28.08,9,0%,0%,140.2,136,145,164.7,-4.4
20,BUF,"Tyler Bass",K,17,24.09,7,0%,0%,138.5,141,143,164.2,-5.9
21,WAS,"Jake Moody",K,17,74.07,12,0%,0%,138.3,134,141,167.9,-5.9
22,NYG,"Jason Sanders",K,17,70.09,14,0%,0%,136.6,132,139,164.5,-8.4
23,CAR,"Ryan Fitzgerald",K,17,,14,0%,0%,133.8,,139,161.7,-9.7
24,CIN,"Evan McPherson",K,17,22.09,10,0%,0%,135,148,136,166.4,-9.9
25,ATL,"Nick Folk",K,17,67.06,5,0%,0%,133.3,142,136,161.8,-11.8
26,TEN,"Joey Slye",K,17,69.08,10,0%,0%,130.3,127,134,158.5,-14.5
27,CLE,"Andre Szmyt",K,17,,9,0%,0%,128.6,,133,156.5,-16.5
28,LVR,"Matt Gay",K,17,68.07,8,0%,0%,129.9,139,133,155.1,-16.6
29,NYJ,"Cade York",K,17,66.07,9,0%,0%,128.3,125,131,153.2,-18.6
30,MIA,"Zane Gonzalez",K,17,70.06,12,0%,0%,126.1,137,127,152.9,-21.3
31,UNS,"Graham Gano",K,16,69.03,18,-,0%,114,64,118,156.3,-39.8
32,ARI,"Chad Ryland",K,13,75.07,8,0%,0%,103.4,126,107,147.1,-40.2
33,IND,"Spencer Shrader",K,10,,11,0%,0%,70.6,5,72,97.2,-83.2
34,ARI,"Joshua Karty",K,8,74.08,8,0%,0%,63.4,16,64,89.6,-91.7
35,IND,"Blake Grupe",K,7,75.04,11,0%,0%,56.1,94,57,82.2,-99.9
36,UNS,"Brandon McManus",K,16,72.07,18,-,0%,108.9,33,131,146.9,-170.8
