Rank,Name,Position,Value
1,Brock Bowers,TE,7948
2,Trey McBride,TE,7524
3,Colston Loveland,TE,6017
4,Tyler Warren,TE,5684
5,Harold Fannin,TE,4866
6,Tucker Kraft,TE,4776
7,Sam LaPorta,TE,4516
8,Kyle Pitts,TE,4391
9,Kenyon Sadiq,TE,4123
10,Oronde Gadsden,TE,3873
11,Dalton Schultz,TE,3773
12,Eli Stowers,TE,3526
13,Isaiah Likely,TE,3297
14,George Kittle,TE,3261
15,Jake Ferguson,TE,3251
16,Dalton Kincaid,TE,3233
17,Brenton Strange,TE,3035
18,T.J. Hockenson,TE,2815
19,AJ Barner,TE,2810
20,Mark Andrews,TE,2734
21,Terrance Ferguson,TE,2708
22,Chigoziem Okonkwo,TE,2700
23,Gunnar Helm,TE,2618
24,Dallas Goedert,TE,2572
25,Elijah Arroyo,TE,2507
26,Mason Taylor,TE,2417
27,David Njoku,TE,2411
28,Travis Kelce,TE,2387
29,Juwan Johnson,TE,2371
30,Cade Otton,TE,2341
31,Pat Freiermuth,TE,2194
32,Michael Mayer,TE,2135
33,Ja'Tavion Sanders,TE,2091
34,Max Klare,TE,2022
35,Cole Kmet,TE,2000
36,Colby Parkinson,TE,1956
37,Evan Engram,TE,1905
38,Luke Musgrave,TE,1896
39,Darnell Washington,TE,1857
40,Ben Sinnott,TE,1798
41,Dawson Knox,TE,1761
42,Greg Dulcich,TE,1717
43,Noah Gray,TE,1591
44,Daniel Bellinger,TE,1470
45,Cade Stover,TE,1424
46,Noah Fant,TE,1423
47,Tommy Tremble,TE,1357
48,Mike Gesicki,TE,1356
49,Tyler Higbee,TE,1353
50,Erick All,TE,1295
51,Justin Joly,TE,1290
52,Elijah Higgins,TE,1267
53,Luke Schoonmaker,TE,1234
54,Michael Trigg,TE,1185
55,Mitchell Evans,TE,1162
56,Jonnu Smith,TE,1128
57,Zach Ertz,TE,1095
58,Eli Raridon,TE,1053
59,Brock Wright,TE,1024
60,Oscar Delp,TE,1003
61,Charlie Kolar,TE,1002
62,Jared Wiley,TE,978
63,Brevin Jordan,TE,943
64,Davis Allen,TE,917
65,Darren Waller,TE,900
66,Grant Calcaterra,TE,701
67,Jack Endries,TE,535
68,Adam Trautman,TE,520
69,Taysom Hill,TE,520
70,Foster Moreau,TE,519
