RANK                PLAYER NAME                                                                                                                        POS                                       TIER                                   30DT,,,,,,,,,,,,,,,,,,VALUE,,,,
,1              Ja'Marr Chase,,,,,,,,,,,WR1,,Tier 1,,0,,,9991,,,
,2              Jaxon Smith-Njigba,,,,,,,,,,,WR2,,Tier 1,,0,,,9899,,,
,,,,,,,,,,,,,,,,,,,,,,
,3              Puka Nacua,,,,,,,,,,,WR3,,Tier 2,,0,,,8629,,,
,,,,,,,,,,,,,,,,,,,,,,
,4              Malik Nabers,,,,,,,,,,,WR4,,Tier 3,,0,,,7859,,,
,5              Justin Jefferson,,,,,,,,,,,WR5,,Tier 3,,1,,,7808,,,
,6              Amon-Ra St. Brown,,,,,,,,,,,WR6,,Tier 3,,1,,,7717,,,
,7              CeeDee Lamb,,,,,,,,,,,WR7,,Tier 3,,0,,,7305,,,
,8              Drake London,,,,,,,,,,,WR8,,Tier 3,,0,,,6883,,,
,9              Tetairoa McMillan,,,,,,,,,,,WR9,,Tier 3,,0,,,6559,,,
,,,,,,,,,,,,,,,,,,,,,,
,10             Emeka Egbuka,,,,,,,,,,,WR10,,Tier 4,,0,,,6210,,,
,11             George Pickens,,,,,,,,,,,WR11,,Tier 4,,0,,,5977,,,
,12             Carnell Tate   R,,,,,,,,,,,WR12,,Tier 4,,6,,,5825,,,
,13             Garrett Wilson,,,,,,,,,,,WR13,,Tier 4,,1,,,5714,,,
,14             Nico Collins,,,,,,,,,,,WR14,,Tier 4,,0,,,5675,,,
,15             Chris Olave,,,,,,,,,,,WR15,,Tier 4,,2,,,5581,,,
,,,,,,,,,,,,,,,,,,,,,,
,16             Rome Odunze,,,,,,,,,,,WR16,,Tier 5,,1,,,5395,,,
,17             Ladd McConkey,,,,,,,,,,,WR17,,Tier 5,,1,,,5341,,,
,18             Jordyn Tyson   R,,,,,,,,,,,WR18,,Tier 5,,8,,,5336,,,
,19             Rashee Rice,,,,,,,,,,,WR19,,Tier 5,,5,,,5280,,,
,20             Luther Burden,,,,,,,,,,,WR20,,Tier 5,,3,,,5206,,,
,21             DeVonta Smith,,,,,,,,,,,WR21,,Tier 5,,1,,,5195,,,
,,,,,,,,,,,,,,,,,,,,,,
,22             Marvin Harrison Jr.,,,,,,,,,,,WR22,,Tier 6,,2,,,5072,,,
,23             Makai Lemon   R,,,,,,,,,,,WR23,,Tier 6,,4,,,5015,,,
,24             Brian Thomas Jr.,,,,,,,,,,,WR24,,Tier 6,,1,,,4941,,,
,25             Tee Higgins,,,,,,,,,,,WR25,,Tier 6,,4,,,4896,,,
,26             A.J. Brown,,,,,,,,,,,WR26,,Tier 6,,3,,,4844,,,
,27             Jaylen Waddle,,,,,,,,,,,WR27,,Tier 6,,2,,,4844,,,
,28             Zay  Flowers,,,,,,,,,,,WR28,,Tier 6,,0,,,4702,,,
,29             Jameson Williams,,,,,,,,,,,WR29,,Tier 6,,2,,,4695,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,30             KC Concepcion,,,,,,,R,,,,WR30,,Tier 7,,3,,,4479,,,
,31             Alec Pierce,,,,,,,,,,,WR31,,Tier 8,,1,,,4098,,,
,32             Jordan Addison,,,,,,,,,,,WR32,,Tier 8,,1,,,3956,,,
,33             Omar Cooper Jr.,,,,,,,R,,,,WR33,,Tier 8,,13,,,3864,,,
,34             D.J. Moore,,,,,,,,,,,WR34,,Tier 8,,2,,,3725,,,
,35             Matthew Golden,,,,,,,,,,,WR35,,Tier 8,,8,,,3709,,,
,36             Michael Wilson,,,,,,,,,,,WR36,,Tier 8,,1,,,3677,,,
,37             DK Metcalf,,,,,,,,,,,WR37,,Tier 8,,3,,,3673,,,
,38             Christian Watson,,,,,,,,,,,WR38,,Tier 8,,1,,,3662,,,
,39             Wan'Dale Robinson,,,,,,,,,,,WR39,,Tier 9,,5,,,3544,,,
,40             Josh Downs,,,,,,,,,,,WR40,,Tier 9,,13,,,3537,,,
,41             Ricky  Pearsall,,,,,,,,,,,WR41,,Tier 9,,0,,,3534,,,
,42             Parker Washington,,,,,,,,,,,WR42,,Tier 9,,4,,,3531,,,
