Rank,Name,Position,Value
1,Josh Allen,QB,9990
2,Drake Maye,QB,9412
3,Caleb Williams,QB,7939
4,Jayden Daniels,QB,7825
5,Lamar Jackson,QB,7673
6,Joe Burrow,QB,7489
7,Justin Herbert,QB,6817
8,Patrick Mahomes,QB,6809
9,Jaxson Dart,QB,6667
10,Trevor Lawrence,QB,6219
11,Jalen Hurts,QB,6185
12,Bo Nix,QB,6137
13,Brock Purdy,QB,5818
14,Fernando Mendoza,QB,5671
15,Jordan Love,QB,5636
16,Cam Ward,QB,5249
17,Dak Prescott,QB,4966
18,Tyler Shough,QB,4899
19,C.J. Stroud,QB,4845
20,Baker Mayfield,QB,4772
21,Sam Darnold,QB,4756
22,Jared Goff,QB,4623
23,Bryce Young,QB,4502
24,Kyler Murray,QB,4120
25,Malik Willis,QB,4039
26,Daniel Jones,QB,3951
27,Ty Simpson,QB,3685
28,Matthew Stafford,QB,3679
29,Michael Penix Jr.,QB,3162
30,J.J. McCarthy,QB,2916
31,Shedeur Sanders,QB,2829
32,Tua Tagovailoa,QB,2711
33,Jacoby Brissett,QB,2709
34,Mac Jones,QB,2693
35,Jalen Milroe,QB,2338
36,Anthony Richardson,QB,2299
37,Geno Smith,QB,2165
38,Justin Fields,QB,2119
39,Deshaun Watson,QB,2051
40,Will Howard,QB,2015
41,Kirk Cousins,QB,2001
42,Quinn Ewers,QB,1807
43,Aaron Rodgers,QB,1777
44,Riley Leonard,QB,1774
45,Garrett Nussmeier,QB,1710
46,Joe Milton,QB,1709
47,Spencer Rattler,QB,1704
48,Cade Klubnik,QB,1674
49,Will Levis,QB,1483
50,Tyson Bagent,QB,1473
51,Dillon Gabriel,QB,1459
52,Jameis Winston,QB,1404
53,Marcus Mariota,QB,1395
54,Davis Mills,QB,1392
55,Carson Beck,QB,1242
56,Tanner McKee,QB,1239
57,Tyler Huntley,QB,1210
58,Drew Allar,QB,1181
59,Gardner Minshew,QB,1171
60,Joe Flacco,QB,1166
61,Trey Lance,QB,1142
62,Kenny Pickett,QB,1082
63,Sam Howell,QB,1051
64,Zach Wilson,QB,1028
65,Drew Lock,QB,955
66,Aidan O'Connell,QB,816
67,Cole Payton,QB,706
68,Mason Rudolph,QB,673
69,Tyrod Taylor,QB,521
70,Luke Altmyer,QB,512
