Rank,Name,Position,Value
1,Bijan Robinson,RB,9998
2,Jahmyr Gibbs,RB,9559
3,Jeremiyah Love,RB,7650
4,Ashton Jeanty,RB,7559
5,De'Von Achane,RB,6871
6,Omarion Hampton,RB,6712
7,Jonathan Taylor,RB,6060
8,James Cook,RB,6052
9,Quinshon Judkins,RB,5468
10,Kenneth Walker III,RB,5452
11,TreVeyon Henderson,RB,5379
12,Breece Hall,RB,5370
13,Christian McCaffrey,RB,5009
14,Bucky Irving,RB,4920
15,Chase Brown,RB,4912
16,Saquon Barkley,RB,4883
17,Kyren Williams,RB,4854
18,Jadarian Price,RB,4714
19,Cam Skattebo,RB,4553
20,Josh Jacobs,RB,4477
21,Travis Etienne,RB,4434
22,Javonte Williams,RB,4425
23,Zach Charbonnet,RB,4134
24,Bhayshul Tuten,RB,3964
25,Derrick Henry,RB,3820
26,Kyle Monangai,RB,3577
27,RJ Harvey,RB,3512
28,D'Andre Swift,RB,3484
29,Chuba Hubbard,RB,3392
30,David Montgomery,RB,3367
31,Blake Corum,RB,3208
32,Jaylen Warren,RB,3194
33,Rico Dowdle,RB,3163
34,Jonathon Brooks,RB,3065
35,Jonah Coleman,RB,3031
36,J.K. Dobbins,RB,3003
37,Jacory Croskey-Merritt,RB,2976
38,Rhamondre Stevenson,RB,2935
39,Nicholas Singleton,RB,2910
40,Woody Marks,RB,2898
41,Tony Pollard,RB,2877
42,Kenneth Gainwell,RB,2758
43,Tyler Allgeier,RB,2756
44,Rachaad White,RB,2725
45,Dylan Sampson,RB,2708
46,Braelon Allen,RB,2689
47,Ty jae Spears,RB,2675
48,Jordan Mason,RB,2656
49,Tyrone Tracy,RB,2617
50,Chris Rodriguez,RB,2501
51,Tank Bigsby,RB,2474
52,Emmett Johnson,RB,2461
53,Mike Washington Jr.,RB,2444
54,Kaytron Allen,RB,2423
55,Kaleb Johnson,RB,2412
56,Ollie Gordon,RB,2411
57,Brian Robinson,RB,2381
58,Keaton Mitchell,RB,2380
59,Trey Benson,RB,2304
60,Isiah Pacheco,RB,2286
61,Aaron Jones,RB,2273
62,Jaylen Wright,RB,2231
63,Kimani Vidal,RB,2228
64,Sean Tucker,RB,2197
65,Trevor Etienne,RB,2138
66,Devin Neal,RB,2135
67,Jordan James,RB,2116
68,LeQuint Allen,RB,2096
69,Alvin Kamara,RB,2087
70,Emanuel Wilson,RB,2070
71,DJ Giddens,RB,2028
72,Ray Davis,RB,1996
73,Jaydon Blue,RB,1966
74,Kendre Miller,RB,1924
75,James Conner,RB,1899
76,Najee Harris,RB,1876
77,Brashard Smith,RB,1841
78,MarShawn Lloyd,RB,1834
79,Isaiah Davis,RB,1785
80,Jarquez Hunter,RB,1700
81,Will Shipley,RB,1673
82,Tahj Brooks,RB,1652
83,Demond Claiborne,RB,1585
84,Audric Estime,RB,1568
85,Roschon Johnson,RB,1556
86,Isaac Guerendo,RB,1538
87,Jerome Ford,RB,1534
88,Jaleel McLaughlin,RB,1491
89,Damien Martinez,RB,1469
90,Raheim Sanders,RB,1390
91,Justice Hill,RB,1358
92,Devin Singletary,RB,1349
93,George Holani,RB,1335
94,Malik Davis,RB,1309
95,Ty Johnson,RB,1296
96,Phil Mafah,RB,1231
97,Bam Knight,RB,1229
98,Joe Mixon,RB,1198
99,Chris Brooks,RB,1173
100,Emari Demercado,RB,1168
101,Rasheen Ali,RB,1168
102,Donovan Edwards,RB,1160
103,Kaelon Black,RB,1145
104,Tyler Goodson,RB,1136
105,Kalel Mullings,RB,1074
106,Michael Carter,RB,1062
107,Israel Abanikanda,RB,1014
108,Kenny McIntosh,RB,1004
109,Dameon Pierce,RB,1000
110,Le'Veon Moss,RB,997
111,Sione Vaki,RB,989
112,Tyler Badie,RB,978
113,Kareem Hunt,RB,977
114,Hassan Haskins,RB,933
115,Deuce Vaughn,RB,921
116,Jawhar Jordan,RB,906
117,Frank Gore Jr.,RB,880
118,Eli Heidenreich,RB,861
119,Ty Chandler,RB,853
120,Zavier Scott,RB,840
121,Alexander Mattison,RB,814
122,Adam Randall,RB,803
123,Kendall Milton,RB,774
124,Seth McGowan,RB,774
125,Jam Miller,RB,762
126,J'Mari Taylor,RB,713
127,Cam Akers,RB,695
128,Elijah Mitchell,RB,605
129,Samaje Perine,RB,578
130,Khalil Herbert,RB,564
131,Trayveon Williams,RB,562
132,Julius Chestnut,RB,532
133,AJ Dillon,RB,515
