Rank,Name,Position,Value
1,Brock Bowers,TE,8797
2,Trey McBride,TE,8335
3,Colston Loveland,TE,6686
4,Tyler Warren,TE,6322
5,Harold Fannin,TE,5437
6,Tucker Kraft,TE,5341
7,Sam LaPorta,TE,5059
8,Kyle Pitts,TE,4925
9,Kenyon Sadiq,TE,4631
10,Oronde Gadsden,TE,4361
11,Eli Stowers,TE,3987
12,Dalton Schultz,TE,3773
13,Isaiah Likely,TE,3743
14,George Kittle,TE,3705
15,Jake Ferguson,TE,3695
16,Dalton Kincaid,TE,3675
17,Pat Freiermuth,TE,3660
18,Michael Mayer,TE,3550
19,Brenton Strange,TE,3463
20,Ja'Tavion Sanders,TE,3444
21,Max Klare,TE,3340
22,Cole Kmet,TE,3240
23,T.J. Hockenson,TE,3230
24,AJ Barner,TE,3226
25,Mark Andrews,TE,3147
26,Colby Parkinson,TE,3143
27,Terrance Ferguson,TE,3121
28,Chigoziem Okonkwo,TE,3113
29,Evan Engram,TE,3049
30,Gunnar Helm,TE,3028
31,Dallas Goedert,TE,2981
32,Luke Musgrave,TE,2957
33,Elijah Arroyo,TE,2911
34,Darnell Washington,TE,2868
35,Mason Taylor,TE,2819
36,David Njoku,TE,2813
37,Travis Kelce,TE,2788
38,Ben Sinnott,TE,2782
39,Juwan Johnson,TE,2772
40,Cade Otton,TE,2740
41,Dawson Knox,TE,2699
42,Greg Dulcich,TE,2618
43,Noah Gray,TE,2539
44,Cade Stover,TE,2463
45,Daniel Bellinger,TE,2463
46,Noah Fant,TE,2318
47,Mike Gesicki,TE,2181
48,Tommy Tremble,TE,2181
49,Tyler Higbee,TE,2115
50,Erick All,TE,2052
51,Justin Joly,TE,1990
52,Elijah Higgins,TE,1931
53,Luke Schoonmaker,TE,1873
54,Michael Trigg,TE,1816
55,Mitchell Evans,TE,1762
56,Jonnu Smith,TE,1497
57,Zach Ertz,TE,1462
58,Eli Raridon,TE,1419
59,Brock Wright,TE,1390
60,Oscar Delp,TE,1371
61,Charlie Kolar,TE,1370
62,Jared Wiley,TE,1347
63,Brevin Jordan,TE,1312
64,Davis Allen,TE,1286
65,Darren Waller,TE,1268
66,Grant Calcaterra,TE,1059
67,Jack Endries,TE,880
68,Adam Trautman,TE,867
69,Foster Moreau,TE,866
70,Taysom Hill,TE,866
