Rank,Name,Position,Value
1,Ja'Marr Chase,WR,9991
2,Jaxon Smith-Njigba,WR,9899
3,Puka Nacua,WR,8629
4,Malik Nabers,WR,7859
5,Justin Jefferson,WR,7808
6,Amon-Ra St. Brown,WR,7717
7,CeeDee Lamb,WR,7305
8,Drake London,WR,6883
9,Tetairoa McMillan,WR,6559
10,Emeka Egbuka,WR,6210
11,George Pickens,WR,5977
12,Carnell Tate,WR,5825
13,Garrett Wilson,WR,5714
14,Nico Collins,WR,5675
15,Chris Olave,WR,5581
16,Rome Odunze,WR,5395
17,Ladd McConkey,WR,5341
18,Jordyn Tyson,WR,5336
19,Rashee Rice,WR,5280
20,Luther Burden,WR,5206
21,DeVonta Smith,WR,5195
22,Marvin Harrison Jr.,WR,5072
23,Makai Lemon,WR,5015
24,Brian Thomas Jr.,WR,4941
25,Tee Higgins,WR,4896
26,A.J. Brown,WR,4844
27,Jaylen Waddle,WR,4844
28,Zay Flowers,WR,4702
29,Jameson Williams,WR,4695
30,KC Concepcion,WR,4479
31,Alec Pierce,WR,4098
32,Jordan Addison,WR,3956
33,Omar Cooper Jr.,WR,3864
34,D.J. Moore,WR,3725
35,Matthew Golden,WR,3709
36,Michael Wilson,WR,3677
37,DK Metcalf,WR,3673
38,Christian Watson,WR,3662
39,Wan'Dale Robinson,WR,3544
40,Josh Downs,WR,3537
41,Ricky Pearsall,WR,3534
42,Parker Washington,WR,3531
43,Jayden Reed,WR,3500
44,Denzel Boston,WR,3450
45,Terry McLaurin,WR,3450
46,Jayden Higgins,WR,3442
47,Davante Adams,WR,3421
48,Michael Pittman,WR,3388
49,Xavier Worthy,WR,3373
50,Travis Hunter,WR,3325
51,Romeo Doubs,WR,3315
52,Quentin Johnston,WR,3308
53,Mike Evans,WR,3295
54,Courtland Sutton,WR,3202
55,Jakobi Meyers,WR,3200
56,Jalen Coker,WR,3076
57,Khalil Shakir,WR,3030
58,Jalen McMillan,WR,2994
59,Chris Godwin,WR,2971
60,Rashid Shaheed,WR,2958
61,Germie Bernard,WR,2909
62,Kayshon Boutte,WR,2810
63,Jauan Jennings,WR,2796
64,Elijah Sarratt,WR,2783
65,Isaac TeSlaa,WR,2779
66,Jaylin Noel,WR,2759
67,Tre Harris,WR,2735
68,Troy Franklin,WR,2720
69,Elic Ayomanor,WR,2671
70,Tory Horton,WR,2660
71,Jerry Jeudy,WR,2659
72,Chris Brazzell II,WR,2638
73,Antonio Williams,WR,2635
74,Pat Bryant,WR,2616
75,Zachariah Branch,WR,2605
76,Malachi Fields,WR,2596
77,Dontayvion Wicks,WR,2580
78,Chimere Dike,WR,2553
79,Tre Tucker,WR,2524
80,Malik Washington,WR,2493
81,Adonai Mitchell,WR,2484
82,Keon Coleman,WR,2482
83,Kyle Williams,WR,2448
84,Skyler Bell,WR,2432
85,Jack Bech,WR,2427
86,Tank Dell,WR,2422
87,Brandon Aiyuk,WR,2406
88,Ja'Kobi Lane,WR,2336
89,Deebo Samuel,WR,2298
90,Jalen Nailor,WR,2279
91,Marvin Mims,WR,2209
92,Stefon Diggs,WR,2172
93,Tez Johnson,WR,2138
94,Darnell Mooney,WR,2135
95,Dont'e Thornton,WR,2089
96,Tyreek Hill,WR,2085
97,Isaiah Bond,WR,2077
98,Kevin Coleman,WR,1679
99,Tutu Atwell,WR,1656
100,Roman Wilson,WR,1655
101,Andrei Iosivas,WR,1647
102,Joshua Palmer,WR,1635
103,Treylon Burks,WR,1609
104,Devaughn Vele,WR,1579
105,KeAndre Lambert-Smith,WR,1576
106,Jimmy Horn,WR,1566
107,John Metchie,WR,1563
108,Tahj Washington,WR,1548
109,Darius Slayton,WR,1538
110,Jordan Whittington,WR,1533
111,Keenan Allen,WR,1507
112,Calvin Austin III,WR,1494
113,Kendrick Bourne,WR,1468
114,Dyami Brown,WR,1429
115,Ja'Lynn Polk,WR,1425
116,Konata Mump?eld,WR,1412
117,Devontez Walker,WR,1373
118,Xavier Restrepo,WR,1338
119,Efton Chism,WR,1305
120,Jalin Hyatt,WR,1296
121,Elijah Moore,WR,1288
122,Tai Felton,WR,1271
123,Olamide Zaccheaus,WR,1267
124,Greg Dortch,WR,1247
125,Malachi Corley,WR,1231
126,Kameron Johnson,WR,1221
127,Brenen Thompson,WR,1219
128,Trey Palmer,WR,1218
129,KaVontae Turpin,WR,1202
130,Mack Hollins,WR,1192
131,Zavion Thomas,WR,1151
132,Gabriel Davis,WR,1135
133,Jake Bobo,WR,1120
134,Javon Baker,WR,1103
135,Jonathan Mingo,WR,1098
136,Jordan Watkins,WR,1085
137,Jacob Cowing,WR,1075
138,Bryce Lance,WR,1043
139,Arian Smith,WR,1026
140,Tyrell Shavers,WR,1020
141,Bo Melton,WR,1014
142,Deion Burks,WR,1008
143,Mason Tipton,WR,1008
144,Lil'Jordan Humphrey,WR,1006
145,Isaiah Hodgins,WR,985
146,Sky y Moore,WR,979
147,Tyler Scott,WR,965
148,Nick Westbrook-Ikhine,WR,962
149,David Bell,WR,944
150,Demarcus Robinson,WR,944
151,Jamari Thrash,WR,924
152,Xavier Gipson,WR,904
153,Bub Means,WR,863
154,Ainias Smith,WR,830
155,Tyler Johnson,WR,820
156,Caleb Douglas,WR,814
157,Noah Brown,WR,530
158,DeAndre Hopkins,WR,525
159,Johnny Wilson,WR,523
160,Van Jefferson,WR,518
161,JuJu Smith-Schuster,WR,516
162,Jermaine Burton,WR,514
163,Brandin Cooks,WR,514
164,Curtis Samuel,WR,514
165,Derius Davis,WR,512
166,Zay Jones,WR,511
