Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,17,1.03,8,0%,83%,296.2,304,361,397.4,100
2,CIN,"Ja'Marr Chase",WR,17,1.05,10,0%,48%,298.6,319,339,400.4,94.2
3,DET,"Jahmyr Gibbs",RB,17,1.02,8,0%,70%,290.1,321,350,408.9,92.5
4,ATL,"Bijan Robinson",RB,17,1.01,5,0%,39%,294.6,329,347,405.5,91.5
5,SF,"Christian McCaffrey",RB,17,1.07,14,0%,52%,275,307,331,414.1,86.4
6,SEA,"Jaxon Smith-Njigba",WR,17,1.04,8,0%,79%,291.1,274,320,374.3,83.7
7,DET,"Amon-Ra St. Brown",WR,17,1.09,8,0%,35%,288.6,284,321,355.9,80.9
8,DAL,"CeeDee Lamb",WR,17,2.02,10,0%,66%,265.2,272,301,361.6,73.7
9,KC,"Rashee Rice",WR,17,3.07,10,0%,88%,259.7,235,309,346.3,73.2
10,MIN,"Justin Jefferson",WR,17,1.11,6,0%,53%,253.1,268,291,381.1,72.3
11,IND,"Jonathan Taylor",RB,17,1.10,11,0%,83%,265.2,283,308,363.9,71.1
12,LVR,"Ashton Jeanty",RB,17,1.12,8,0%,63%,260.7,263,293,375,67.7
13,ATL,"Drake London",WR,17,2.08,5,0%,76%,254.7,266,277,332.2,61
14,BUF,"James Cook",RB,17,2.01,7,0%,73%,251.2,258,285,351.1,60.9
15,HOU,"Nico Collins",WR,17,3.02,6,0%,92%,247.7,245,278,331.2,60.6
16,MIA,"De'Von Achane",RB,17,1.06,12,0%,90%,248.6,273,276,353.6,58.4
17,PHI,"Saquon Barkley",RB,17,2.03,9,0%,43%,243.3,257,267,371.7,57.9
18,PHI,"A.J. Brown",WR,17,3.05,9,0%,76%,233.5,242,262,330.5,54.3
19,DAL,"George Pickens",WR,17,3.06,10,0%,47%,238.2,225,262,327.2,54.1
20,KC,"Kenneth Walker III",RB,17,2.12,10,0%,43%,236.2,237,262,356.9,53.5
21,ARI,"Jeremiyah Love",RB,17,2.05,8,0%,0%,229.5,238,255,359.5,51
22,GB,"Josh Jacobs",RB,17,2.11,5,0%,69%,229.9,243,270,327.2,50.8
23,BUF,"Josh Allen",QB,17,3.01,7,0%,22%,306.9,361,379,443.3,50.4
24,LAC,"Omarion Hampton",RB,17,2.07,12,0%,94%,226.8,240,258,350.5,50.2
25,NYG,"Malik Nabers",WR,16,2.06,14,0%,66%,205.1,255,247,346,49.2
26,ARI,"Trey McBride",TE,17,2.04,8,0%,53%,237.1,248,255,298.3,49
27,LVR,"Brock Bowers",TE,17,2.10,8,0%,75%,234.9,233,253,305.6,49
28,CIN,"Chase Brown",RB,17,1.08,10,0%,81%,228.3,250,259,337.2,48.9
29,BAL,"Derrick Henry",RB,17,2.09,7,0%,37%,231.8,251,260,330.8,48.5
30,BAL,"Zay Flowers",WR,17,3.03,7,0%,85%,226.6,221,255,292.9,45.7
31,NO,"Chris Olave",WR,17,3.09,11,0%,76%,219.5,224,252,300.2,45.4
32,CIN,"Tee Higgins",WR,17,4.02,10,0%,88%,219.7,225,244,302.7,43.4
33,PHI,"DeVonta Smith",WR,17,4.09,9,0%,94%,222.7,218,242,302.6,43.1
34,NYJ,"Garrett Wilson",WR,17,4.03,9,0%,36%,221.2,230,243,299,42.7
35,NYJ,"Breece Hall",RB,17,3.10,9,0%,85%,215.9,225,245,319,40.7
36,CHI,"Colston Loveland",TE,17,4.05,5,0%,33%,196.7,199,240,275.8,40.5
37,LAR,"Davante Adams",WR,17,5.09,8,0%,82%,209.9,220,236,292.4,38.4
38,DAL,"Javonte Williams",RB,17,4.01,10,0%,73%,208.9,202,243,301.2,36.6
39,NO,"Travis Etienne",RB,17,3.11,11,0%,69%,213.3,202,232,320,36.6
40,IND,"Tyler Warren",TE,17,5.04,11,0%,60%,193.2,192,227,263.7,36.4
41,DEN,"Jaylen Waddle",WR,17,4.11,12,0%,93%,199.2,198,229,293.1,35.4
42,LAR,"Kyren Williams",RB,17,3.04,8,0%,85%,214.1,223,233,297.9,33.6
43,CAR,"Tetairoa McMillan",WR,17,3.12,14,0%,45%,200.4,219,223,289.5,33.1
44,CHI,"Luther Burden III",WR,17,4.08,5,0%,39%,191.3,169,222,295.9,33.1
45,NYG,"Cameron Skattebo",RB,17,4.12,14,0%,52%,200.2,187,230,308.3,33
46,BAL,"Lamar Jackson",QB,17,4.06,7,0%,45%,298.8,331,340,438.1,31.6
47,WAS,"Terry McLaurin",WR,17,5.05,12,0%,93%,198,219,220,279.4,30.5
48,LAC,"Ladd McConkey",WR,17,4.07,12,0%,86%,190.4,221,221,281.1,30.4
49,TB,"Emeka Egbuka",WR,17,4.10,9,0%,38%,192.5,188,216,287.6,30.1
50,NE,"Drake Maye",QB,17,5.12,14,0%,65%,293.8,312,342,427,29.3
51,GB,"Christian Watson",WR,17,7.03,5,0%,52%,189.1,152,220,274.8,29
52,CIN,"Joe Burrow",QB,17,5.08,10,0%,26%,296,317,340,425.3,28.9
53,CHI,"D'Andre Swift",RB,17,6.04,5,0%,73%,199.9,200,222,288.8,28.5
