Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,LAR,"Puka Nacua",WR,17,1.04,8,0%,83%,296.2,304,361,397.4,100
2,CIN,"Ja'Marr Chase",WR,17,1.03,10,0%,48%,298.6,319,339,400.4,94.1
3,DET,"Jahmyr Gibbs",RB,17,1.02,8,0%,70%,290.1,321,350,408.9,92.5
4,ATL,"Bijan Robinson",RB,17,1.01,5,0%,39%,294.6,329,347,405.5,91.5
5,SF,"Christian McCaffrey",RB,17,1.06,14,0%,52%,275,307,331,414.1,86.3
6,SEA,"Jaxon Smith-Njigba",WR,17,1.05,8,0%,79%,291.1,274,320,374.3,83.6
7,DET,"Amon-Ra St. Brown",WR,17,1.09,8,0%,35%,288.6,284,321,355.9,80.8
8,DAL,"CeeDee Lamb",WR,17,1.11,10,0%,66%,265.2,272,301,361.6,73.5
9,KC,"Rashee Rice",WR,17,3.01,10,0%,88%,259.7,235,309,346.3,73
10,MIN,"Justin Jefferson",WR,17,2.04,6,0%,53%,253.1,268,291,381.1,72.1
11,IND,"Jonathan Taylor",RB,17,1.08,11,0%,83%,265.2,283,308,363.9,70.9
12,LVR,"Ashton Jeanty",RB,17,2.01,8,0%,63%,260.7,263,293,375,67.5
13,ARI,"Trey McBride",TE,17,1.07,8,0%,53%,285.8,299,307,359.5,65.4
14,LVR,"Brock Bowers",TE,17,1.10,8,0%,75%,280.3,280,301,364.7,64.3
15,BUF,"James Cook",RB,17,2.02,7,0%,73%,251.2,258,285,351.1,60.7
16,ATL,"Drake London",WR,17,2.07,5,0%,76%,254.7,266,277,332.2,60.7
17,HOU,"Nico Collins",WR,17,3.03,6,0%,92%,247.7,245,278,331.2,60.3
18,MIA,"De'Von Achane",RB,17,1.12,12,0%,90%,248.6,273,276,353.6,58.1
19,PHI,"Saquon Barkley",RB,17,2.06,9,0%,43%,243.3,257,267,371.7,57.6
20,PHI,"A.J. Brown",WR,17,3.08,9,0%,76%,233.5,242,262,330.5,54
21,DAL,"George Pickens",WR,17,2.12,10,0%,47%,238.2,225,262,327.2,53.8
22,KC,"Kenneth Walker III",RB,17,2.11,10,0%,43%,236.2,237,262,356.9,53.1
23,CHI,"Colston Loveland",TE,17,2.10,5,0%,33%,232.2,236,283,325.6,52.8
24,ARI,"Jeremiyah Love",RB,17,2.05,8,0%,0%,229.5,238,255,359.5,50.7
25,GB,"Josh Jacobs",RB,17,3.06,5,0%,69%,229.9,243,270,327.2,50.4
26,BUF,"Josh Allen",QB,17,3.04,7,0%,22%,306.9,361,379,443.3,50
27,LAC,"Omarion Hampton",RB,17,2.03,12,0%,94%,226.8,240,258,350.5,49.8
28,NYG,"Malik Nabers",WR,16,2.09,14,0%,66%,205.1,255,247,346,48.9
29,IND,"Tyler Warren",TE,17,4.03,11,0%,60%,230,232,271,313.9,48.8
30,CIN,"Chase Brown",RB,17,2.08,10,0%,81%,228.3,250,259,337.2,48.5
31,BAL,"Derrick Henry",RB,17,3.02,7,0%,37%,231.8,251,260,330.8,48.2
32,BAL,"Zay Flowers",WR,17,4.07,7,0%,85%,226.6,221,255,292.9,45.4
33,NO,"Chris Olave",WR,17,3.05,11,0%,76%,219.5,224,252,300.2,45
34,CIN,"Tee Higgins",WR,17,4.02,10,0%,88%,219.7,225,244,302.7,43
35,PHI,"DeVonta Smith",WR,17,4.08,9,0%,94%,222.7,218,242,302.6,42.7
36,NYJ,"Garrett Wilson",WR,17,3.12,9,0%,36%,221.2,230,243,299,42.3
37,NYJ,"Breece Hall",RB,17,3.07,9,0%,85%,215.9,225,245,319,40.3
38,CLE,"Harold Fannin Jr.",TE,17,4.05,9,0%,68%,212.9,201,237,295.7,38.4
39,DET,"Sam LaPorta",TE,17,6.03,8,0%,84%,211.8,221,235,294.1,37.9
40,LAR,"Davante Adams",WR,17,5.03,8,0%,82%,209.9,220,236,292.4,37.9
41,DAL,"Javonte Williams",RB,17,4.04,10,0%,73%,208.9,202,243,301.2,36.2
42,NO,"Travis Etienne",RB,17,4.01,11,0%,69%,213.3,202,232,320,36.2
43,GB,"Tucker Kraft",TE,16,5.07,5,0%,49%,197.4,207,235,284.4,35.8
44,DEN,"Jaylen Waddle",WR,17,5.02,12,0%,93%,199.2,198,229,293.1,35
45,LAR,"Kyren Williams",RB,17,3.11,8,0%,85%,214.1,223,233,297.9,33.2
46,NYG,"Cameron Skattebo",RB,17,4.09,14,0%,52%,200.2,187,230,308.3,32.6
47,CAR,"Tetairoa McMillan",WR,17,3.09,14,0%,45%,200.4,219,223,289.5,32.6
48,CHI,"Luther Burden III",WR,17,5.01,5,0%,39%,191.3,169,222,295.9,32.6
49,SF,"George Kittle",TE,15,8.09,14,0%,53%,131.6,216,219,326.8,32.3
50,ATL,"Kyle Pitts",TE,17,5.04,5,0%,85%,202.6,205,213,287.9,31.9
51,BAL,"Lamar Jackson",QB,17,5.08,7,0%,45%,298.8,331,340,438.1,31.1
52,KC,"Travis Kelce",TE,17,10.01,10,0%,65%,190.2,207,221,265.4,30.3
53,WAS,"Terry McLaurin",WR,17,5.05,12,0%,93%,198,219,220,279.4,30.1
54,LAC,"Ladd McConkey",WR,17,4.06,12,0%,86%,190.4,221,221,281.1,30
55,TB,"Emeka Egbuka",WR,17,4.12,9,0%,38%,192.5,188,216,287.6,29.6
56,NE,"Drake Maye",QB,17,6.07,14,0%,65%,293.8,312,342,427,28.8
57,GB,"Christian Watson",WR,17,5.12,5,0%,52%,189.1,152,220,274.8,28.5
58,CIN,"Joe Burrow",QB,17,6.09,10,0%,26%,296,317,340,425.3,28.4
59,CHI,"D'Andre Swift",RB,17,5.10,5,0%,73%,199.9,200,222,288.8,28
60,DET,"Jameson Williams",WR,17,5.06,8,0%,68%,193.2,196,215,277,27.7
61,WAS,"Jayden Daniels",QB,17,6.11,12,0%,71%,286,316,333,432.4,26.9
62,TB,"Bucky Irving",RB,17,3.10,9,0%,83%,194.1,217,209,300.6,26.9
63,PHI,"Jalen Hurts",QB,17,8.05,9,0%,43%,290.5,316,330,432.4,26.7
64,PIT,"D.K. Metcalf",WR,17,7.05,5,0%,69%,183.9,200,219,262.8,26.1
65,CHI,"Rome Odunze",WR,17,6.01,5,0%,79%,184.5,191,205,287,25.6
66,NE,"TreVeyon Henderson",RB,17,4.11,14,0%,37%,179.5,189,197,313.5,25.6
67,JAC,"Trevor Lawrence",QB,17,9.08,8,0%,35%,287.1,300,334,413.9,25.4
68,SF,"Mike Evans",WR,17,5.11,14,0%,93%,180.5,207,210,277,25.2
69,CHI,"Caleb Williams",QB,17,8.08,5,0%,24%,287.1,295,326,417.6,24.2
70,CLE,"Quinshon Judkins",RB,17,4.10,9,0%,45%,183,180,199,282.5,24
71,SF,"Brock Purdy",QB,17,10.08,14,0%,24%,284.5,304,327,408.8,23.3
72,LAC,"Justin Herbert",QB,17,9.05,12,0%,36%,284.4,299,323,413.6,23
73,PIT,"Jaylen Warren",RB,17,6.12,5,0%,91%,172.8,180,203,264.3,23
74,NYG,"Jaxson Dart",QB,17,8.10,14,0%,33%,280.1,275,318,417,22.1
75,DAL,"Dak Prescott",QB,17,10.02,10,0%,27%,282.7,301,325,399.7,21.9
76,HOU,"David Montgomery",RB,17,6.06,6,0%,94%,161.3,190,188,273.8,21.2
77,NE,"Rhamondre Stevenson",RB,17,7.10,14,0%,93%,164.9,171,185,274.2,21
78,DAL,"Jake Ferguson",TE,17,8.03,10,0%,83%,194.4,192,200,242.5,20.7
79,CAR,"Chuba Hubbard",RB,17,7.03,14,0%,82%,153.7,190,181,284,20.7
80,TEN,"Tony Pollard",RB,17,8.11,10,0%,51%,164.8,181,181,271.6,20.4
81,BUF,"D.J. Moore",WR,17,6.10,7,0%,71%,174.7,190,199,268.1,20.3
82,PIT,"Michael Pittman Jr.",WR,17,9.03,5,0%,94%,177.2,182,204,254.6,20.1
83,JAC,"Bhayshul Tuten",RB,17,6.04,8,0%,16%,147.1,159,171,299.3,20.1
84,JAC,"Parker Washington",WR,17,7.04,8,0%,0%,171.4,139,204,257,19.9
85,DEN,"Bo Nix",QB,17,11.10,12,0%,21%,280.9,296,312,405.7,19.7
86,KC,"Patrick Mahomes",QB,17,10.06,10,0%,23%,271.1,298,308,419,19.6
