Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,17,1.01,5,0%,39%,235.3,263,277,323.9,100
2,DET,"Jahmyr Gibbs",RB,17,1.02,8,0%,70%,229.4,257,276,323.4,98.9
3,LAR,"Puka Nacua",WR,17,1.05,8,0%,83%,188.9,191,230,253.4,96
4,IND,"Jonathan Taylor",RB,17,1.11,11,0%,83%,227.2,245,264,311.7,90.9
5,CIN,"Ja'Marr Chase",WR,17,1.03,10,0%,48%,189.4,203,215,254,89.7
6,SEA,"Jaxon Smith-Njigba",WR,17,2.09,8,0%,79%,193.7,177,213,249,88.2
7,SF,"Christian McCaffrey",RB,17,1.08,14,0%,52%,211.3,236,255,318.2,85.9
8,BUF,"James Cook",RB,17,2.04,7,0%,73%,219.8,226,250,307.2,82.6
9,BAL,"Derrick Henry",RB,17,2.01,7,0%,37%,215.1,235,242,307,78.6
10,DET,"Amon-Ra St. Brown",WR,17,1.10,8,0%,35%,183,174,203,225.7,77.7
11,DAL,"CeeDee Lamb",WR,17,1.07,10,0%,66%,172.5,172,196,235.2,75.1
12,PHI,"Saquon Barkley",RB,17,1.04,9,0%,43%,207.8,220,228,317.4,74
13,MIN,"Justin Jefferson",WR,17,1.09,6,0%,53%,164.7,169,189,248,73.8
14,LVR,"Ashton Jeanty",RB,17,1.06,8,0%,63%,205.9,211,231,296.1,70.5
15,KC,"Rashee Rice",WR,17,4.08,10,0%,88%,164.1,143,195,218.7,70.1
16,HOU,"Nico Collins",WR,17,2.07,6,0%,92%,166,161,186,221.9,67.3
17,GB,"Josh Jacobs",RB,17,2.03,5,0%,69%,195.2,207,230,277.9,64.3
18,BUF,"Josh Allen",QB,17,2.05,7,0%,22%,306.9,361,379,443.3,63.9
19,DAL,"George Pickens",WR,17,3.11,10,0%,47%,160.9,149,177,221.1,62.3
20,ATL,"Drake London",WR,17,2.06,5,0%,76%,164,171,178,213.9,61.7
21,KC,"Kenneth Walker III",RB,17,3.04,10,0%,43%,194,196,216,293.2,61.4
22,MIA,"De'Von Achane",RB,17,1.12,12,0%,90%,195.1,211,217,277.4,58.7
23,LAC,"Omarion Hampton",RB,17,2.11,12,0%,94%,186.4,193,212,288.1,57.7
24,PHI,"A.J. Brown",WR,17,2.12,9,0%,76%,151.8,159,171,214.8,56.9
25,ARI,"Jeremiyah Love",RB,17,9.09,8,0%,0%,183.9,184,204,288.2,54.2
26,CIN,"Tee Higgins",WR,17,3.06,10,0%,88%,149.3,149,166,205.7,52.6
27,NYG,"Malik Nabers",WR,16,2.02,14,0%,66%,131.7,160,159,222.1,50.6
28,LVR,"Brock Bowers",TE,17,2.08,8,0%,75%,144,139,155,187.4,50.4
29,NO,"Chris Olave",WR,17,5.06,11,0%,76%,141.1,142,162,193,47.2
30,LAR,"Davante Adams",WR,17,4.01,8,0%,82%,141.8,149,159,197.5,47
31,ARI,"Trey McBride",TE,17,2.10,8,0%,53%,139.8,145,150,175.9,46.9
32,BAL,"Zay Flowers",WR,17,5.04,7,0%,85%,144.9,141,163,187.3,46.8
33,DAL,"Javonte Williams",RB,17,6.02,10,0%,73%,176.8,168,206,254.9,46.5
34,CIN,"Chase Brown",RB,17,3.01,10,0%,81%,177.4,193,202,262.1,46.5
35,CHI,"Colston Loveland",TE,17,5.08,5,0%,33%,125.6,124,153,176.2,46.3
36,LAR,"Kyren Williams",RB,17,3.02,8,0%,85%,184.4,193,200,256.6,45.8
37,PHI,"DeVonta Smith",WR,17,4.12,9,0%,94%,142.9,138,155,194.2,44.9
38,GB,"Christian Watson",WR,17,10.02,5,0%,52%,134.8,105,157,196,44.6
39,NO,"Travis Etienne",RB,17,5.05,11,0%,69%,175.8,164,191,263.7,42.1
40,DET,"Jameson Williams",WR,17,4.09,8,0%,68%,135.1,135,150,193.6,41.3
41,IND,"Tyler Warren",TE,17,6.08,11,0%,60%,119.5,112,141,163.1,39.9
42,NYJ,"Garrett Wilson",WR,17,3.10,9,0%,36%,136.5,138,150,184.5,39.6
43,NYJ,"Breece Hall",RB,17,3.03,9,0%,85%,169.7,180,193,250.8,39.3
44,CAR,"Tetairoa McMillan",WR,17,4.02,14,0%,45%,131.6,143,146,190.1,38.4
45,DEN,"Jaylen Waddle",WR,17,5.10,12,0%,93%,128.2,124,147,188.7,38.1
46,BAL,"Lamar Jackson",QB,17,3.09,7,0%,45%,298.8,331,340,438.1,37
47,CHI,"Luther Burden III",WR,17,10.09,5,0%,39%,124.1,105,144,191.9,36.9
48,WAS,"Terry McLaurin",WR,17,4.11,12,0%,93%,130.7,144,145,184.4,36.7
49,TB,"Emeka Egbuka",WR,17,6.04,9,0%,38%,127.4,123,143,190.4,36.5
50,CHI,"D'Andre Swift",RB,17,6.01,5,0%,73%,169.4,167,188,244.7,35.9
51,GB,"Tucker Kraft",TE,16,6.10,5,0%,49%,110.1,111,131,158.6,35.4
52,SF,"Mike Evans",WR,17,4.07,14,0%,93%,122.8,141,143,188.4,35.3
53,CHI,"Rome Odunze",WR,17,6.06,5,0%,79%,124.8,128,139,194.2,35.1
54,LAC,"Ladd McConkey",WR,17,3.07,12,0%,86%,123.1,142,143,181.8,34.1
55,PIT,"D.K. Metcalf",WR,17,5.09,5,0%,69%,122.5,133,146,175,33.8
56,DET,"Sam LaPorta",TE,17,5.12,8,0%,84%,113.1,116,126,157,33.8
57,NE,"Drake Maye",QB,17,10.10,14,0%,65%,293.8,312,342,427,33.7
58,NYG,"Cameron Skattebo",RB,17,6.12,14,0%,52%,160.3,149,184,246.8,33.4
59,CIN,"Joe Burrow",QB,17,4.03,10,0%,26%,296,317,340,425.3,33.2
60,WAS,"Jayden Daniels",QB,17,4.04,12,0%,71%,286,316,333,432.4,31.1
61,CLE,"Quinshon Judkins",RB,17,5.07,9,0%,45%,158.2,154,172,244.2,30.8
62,PHI,"Jalen Hurts",QB,17,4.10,9,0%,43%,290.5,316,330,432.4,30.7
63,IND,"Alec Pierce",WR,17,10.03,11,0%,94%,118.2,108,136,180.7,30.3
64,NE,"TreVeyon Henderson",RB,17,3.12,14,0%,37%,148.5,153,163,259.5,30.1
65,TB,"Bucky Irving",RB,17,3.05,9,0%,83%,156.2,177,168,241.9,29.8
66,CLE,"Harold Fannin Jr.",TE,17,10.01,9,0%,68%,108.2,97,120,150.2,29.3
67,JAC,"Trevor Lawrence",QB,17,12.07,8,0%,35%,287.1,300,334,413.9,28.8
68,ARI,"Marvin Harrison Jr.",WR,17,4.06,8,0%,90%,115.7,128,132,181.5,28.4
69,HOU,"David Montgomery",RB,17,4.05,6,0%,94%,139.3,159,162,236.5,27.3
70,CHI,"Caleb Williams",QB,17,8.09,5,0%,24%,287.1,295,326,417.6,27.2
71,BUF,"D.J. Moore",WR,17,5.01,7,0%,71%,114.9,119,131,176.3,26.9
72,JAC,"Parker Washington",WR,17,11.04,8,0%,0%,112.8,87,134,169.2,26.7
73,DEN,"Courtland Sutton",WR,17,5.11,12,0%,80%,114.2,123,133,171.3,26.7
74,GB,"Jayden Reed",WR,17,9.06,5,0%,12%,114.2,105,131,173.3,26.6
75,SEA,"Jadarian Price",RB,17,10.12,8,0%,0%,127.4,154,148,257.8,26
76,SF,"Brock Purdy",QB,17,9.08,14,0%,24%,284.5,304,327,408.8,25.9
