"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","1","3","2.1","1.0","+1"
"2",1,"Bijan Robinson",ATL,"RB2","1","5","3.0","1.6","-1"
"3",1,"Ja'Marr Chase",CIN,"WR1","2","6","3.1","1.1","0"
"4",1,"Puka Nacua",LAR,"WR2","2","6","3.9","1.4","0"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","2","6","5.1","1.4","0"
"6",2,"Jonathan Taylor",IND,"RB3","1","12","5.5","3.0","0"
"7",2,"Amon-Ra St. Brown",DET,"WR4","6","11","8.2","1.4","+1"
"8",2,"Christian McCaffrey",SF,"RB4","5","28","8.4","4.5","-1"
"9",2,"CeeDee Lamb",DAL,"WR5","7","11","8.4","1.3","0"
"10",3,"James Cook III",BUF,"RB5","3","13","11.3","2.2","+1"
"11",3,"Drake London",ATL,"WR6","9","21","12.2","3.4","+10"
"12",3,"Justin Jefferson",MIN,"WR7","10","21","12.9","3.5","-2"
"13",3,"Malik Nabers",NYG,"WR8","9","38","15.8","5.7","+4"
"14",3,"Nico Collins",HOU,"WR9","9","24","16.2","3.5","+12"
"15",3,"Saquon Barkley",PHI,"RB6","12","30","18.3","6.1","-1"
"16",4,"Ashton Jeanty",LV,"RB7","12","30","19.1","5.0","-4"
"17",4,"Derrick Henry",BAL,"RB8","13","29","19.5","5.0","+1"
"18",4,"De'Von Achane",MIA,"RB9","8","37","19.7","7.5","-5"
"19",4,"George Pickens",DAL,"WR10","14","24","19.7","1.9","+6"
"20",4,"Rashee Rice",KC,"WR11","10","39","20.0","6.7","0"
"21",4,"Trey McBride",ARI,"TE1","16","56","22.4","12.2","+3"
"22",4,"Brock Bowers",LV,"TE2","16","34","22.6","6.4","0"
"23",4,"Josh Allen",BUF,"QB1","25","27","25.1","0.5","+6"
"24",4,"A.J. Brown",PHI,"WR12","19","41","26.5","5.7","+4"
"25",4,"Omarion Hampton",LAC,"RB10","13","47","26.7","9.0","-9"
"26",4,"Chris Olave",NO,"WR13","14","44","28.2","8.2","+7"
"27",4,"Lamar Jackson",BAL,"QB2","27","41","28.3","3.0","+27"
"28",5,"Kenneth Walker III",KC,"RB11","15","52","28.6","8.6","-13"
"29",5,"Chase Brown",CIN,"RB12","15","37","28.7","6.8","-10"
"30",5,"Josh Jacobs",GB,"RB13","15","42","29.3","7.2","-3"
"31",5,"Tee Higgins",CIN,"WR14","24","38","29.7","4.4","+5"
"32",5,"Jeremiyah Love",ARI,"RB14","17","47","30.5","9.7","-9"
"33",5,"Tetairoa McMillan",CAR,"WR15","24","43","32.8","5.5","+1"
