Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BUF,"Josh Allen",QB,17,1.01,7,0%,22%,306.9,361,379,443.3,100
2,LAR,"Puka Nacua",WR,17,1.06,8,0%,83%,242.6,248,296,325.4,84
3,DET,"Jahmyr Gibbs",RB,17,1.04,8,0%,70%,259.8,289,313,366.2,81
4,ATL,"Bijan Robinson",RB,17,1.02,5,0%,39%,264.9,296,312,364.7,80.9
5,CIN,"Ja'Marr Chase",WR,17,1.05,10,0%,48%,244,261,277,327.2,78.9
6,SF,"Christian McCaffrey",RB,17,1.09,14,0%,52%,243.1,272,293,366.2,73.2
7,SEA,"Jaxon Smith-Njigba",WR,17,1.07,8,0%,79%,242.4,226,266,311.7,73.1
8,BAL,"Lamar Jackson",QB,17,1.11,7,0%,45%,298.8,331,340,438.1,72
9,NE,"Drake Maye",QB,17,1.03,14,0%,65%,293.8,312,342,427,68.7
10,DET,"Amon-Ra St. Brown",WR,17,2.04,8,0%,35%,235.8,229,262,290.8,67.9
11,CIN,"Joe Burrow",QB,17,1.10,10,0%,26%,296,317,340,425.3,67.7
12,IND,"Jonathan Taylor",RB,17,1.12,11,0%,83%,246.2,264,286,337.8,67.3
13,DAL,"CeeDee Lamb",WR,17,2.03,10,0%,66%,218.8,222,249,298.4,63.3
14,WAS,"Jayden Daniels",QB,17,1.08,12,0%,71%,286,316,333,432.4,63.1
15,PHI,"Jalen Hurts",QB,17,3.01,9,0%,43%,290.5,316,330,432.4,62.4
16,MIN,"Justin Jefferson",WR,17,2.05,6,0%,53%,208.9,218,240,314.6,62.2
17,KC,"Rashee Rice",WR,17,4.07,10,0%,88%,211.9,189,252,282.5,61.4
18,BUF,"James Cook",RB,17,2.01,7,0%,73%,235.5,242,268,329.1,59.2
19,LVR,"Ashton Jeanty",RB,17,2.08,8,0%,63%,233.3,237,262,335.6,58.4
20,JAC,"Trevor Lawrence",QB,17,3.07,8,0%,35%,287.1,300,334,413.9,58.3
21,CHI,"Caleb Williams",QB,17,2.02,5,0%,24%,287.1,295,326,417.6,54.6
22,PHI,"Saquon Barkley",RB,17,3.05,9,0%,43%,225.6,239,248,344.5,54.6
23,HOU,"Nico Collins",WR,17,3.08,6,0%,92%,206.8,203,232,276.5,53.9
24,ATL,"Drake London",WR,17,2.06,5,0%,76%,209.3,219,228,273,52.2
25,SF,"Brock Purdy",QB,17,3.12,14,0%,24%,284.5,304,327,408.8,52
26,BAL,"Derrick Henry",RB,17,4.09,7,0%,37%,223.5,243,251,318.9,51.5
27,LAC,"Justin Herbert",QB,17,2.12,12,0%,36%,284.4,299,323,413.6,50.8
28,MIA,"De'Von Achane",RB,17,2.09,12,0%,90%,221.9,242,247,315.5,49.5
29,DAL,"George Pickens",WR,17,3.11,10,0%,47%,199.6,187,219,274.1,48.9
30,NYG,"Jaxson Dart",QB,17,2.11,14,0%,33%,280.1,275,318,417,48
31,KC,"Kenneth Walker III",RB,17,2.07,10,0%,43%,215.1,217,239,325,48
32,GB,"Josh Jacobs",RB,17,4.04,5,0%,69%,212.5,225,250,302.5,47.6
33,DAL,"Dak Prescott",QB,17,4.08,10,0%,27%,282.7,301,325,399.7,47.4
34,PHI,"A.J. Brown",WR,17,4.05,9,0%,76%,192.6,200,216,272.7,47.1
35,LAC,"Omarion Hampton",RB,17,3.03,12,0%,94%,206.6,216,235,319.3,45
36,LVR,"Brock Bowers",TE,17,4.01,8,0%,75%,189.5,186,204,246.5,44.3
37,ARI,"Jeremiyah Love",RB,17,3.06,8,0%,0%,206.7,211,230,323.8,44.1
38,ARI,"Trey McBride",TE,17,2.10,8,0%,53%,188.5,196,203,237.1,43
39,NYG,"Malik Nabers",WR,16,3.04,14,0%,66%,168.4,207,203,284.1,42.3
40,DEN,"Bo Nix",QB,17,3.09,12,0%,21%,280.9,296,312,405.7,40.8
41,KC,"Patrick Mahomes",QB,17,3.02,10,0%,23%,271.1,298,308,419,40.3
42,CIN,"Chase Brown",RB,17,3.10,10,0%,81%,202.9,221,231,299.7,40.3
43,MIN,"Kyler Murray",QB,15,7.12,6,0%,23%,271.7,290,309,416.7,40.1
